Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14
"Condit. James E., III",63,5,68,0,68,0,68,6,74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis, Henrietta",1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713
"Decker, Marjorie C.",1540,121,1661,1,1662,4,1666,8,1674,10,1684,7,1691,12,1703,10,1713,0,1713,0,1713,0,1713,0,1713,0,1713
"Dixon, Vincent	Lawreno",92,10,102,0,102,1,103,3,106,12,118,3,121,-121,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galluccio, Anthony D.",3230,-1517,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713
"Hall, Robert L.",153,27,180,0,180,0,180,2,182,3,185,2,187,15,202,4,206,-206,0,0,0,0,0,0,0,0,0
"Horowitz, Jacob",155,13,168,1,169,2,171,3,174,4,178,2,180,4,184,-184,0,0,0,0,0,0,0,0,0,0,0
"Iskovitz, Steve",345,8,353,0,353,3,356,9,365,4,369,3,372,10,382,35,417,25,442,14,456,-456,0,0,0,0,0
"Jens, Steven E.",278,15,293,0,293,1,294,1,295,11,306,1,307,14,321,6,327,8,335,-335,0,0,0,0,0,0,0
"King, Ethridge A.",378,35,413,0,413,0,413,2,415,1,416,3,419,6,425,47,472,10,482,28,510,77,587,-587,0,0,0
"Maher, David P.",1017,379,1396,0,1396,0,1396,2,1398,5,1403,8,1411,5,1416,6,1422,25,1447,70,1517,16,1533,90,1623,90,1713
"Murphy, Brian",1716,0,1716,-3,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713
"Peixoto, Helder",69,21,90,0,90,0,90,1,91,4,95,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pitkin, John",1091,48,1139,0,1139,1,1140,6,1146,1,1147,5,1152,16,1168,24,1192,11,1203,25,1228,88,1316,160,1476,-1476,0
"Reeves, Kenneth E",1141,163,1304,1,1305,4,1309,3,1312,2,1314,12,1326,6,1332,9,1341,19,1360,24,1384,31,1415,120,1535,178,1713
"Simmons, Denise",1339,85,1424,0,1424,0,1424,7,1431,5,1436,5,1441,7,1448,20,1468,67,1535,18,1553,140,1693,20,1713,0,1713
"Sullivan, Michael A.",1315,398,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713,0,1713
"Toomey, Timothy J., Jr.",1402,185,1587,0,1587,1,1588,2,1590,2,1592,17,1609,7,1516,4,1620,8,1628,37,1665,20,1685,28,1713,0,1713
"Williamson, James	M.",58,4,62,0,62,0,62,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In P1,29,0,29,0,29,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In Other,2,0,2,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,14,14,7,21,10,31,27,58,19,77,19,96,33,129,119,248,84,332,169,501,1208,1709
Invalid,562,0,562,0,562,0,562,0,562,0,562,0,562,0,562,0,562,0,562,0,562,0,562,0,562,0,562
Total,17688,0,17688,0,17688,0,17688,0,17688,0,17688,0,17688,0,17588,0,17688,0,17688,0,17688,0,17688,0,17688,0,17688
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,11/6/2001,,,,,,,,,,,,,,,,,,,,,,,,,,
Count Dates,11/6/2001,11/7/2001,,,,,,,,,,,,,,,,,,,,,,,,,
Total,17688,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,1713,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Galluccio, Anthony D.",,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Murphy, Brian",,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Davis, Henrietta",,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Sullivan, Michael A.",,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Decker, Marjorie C.",,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Simmons, Denise",,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Toomey, Timothy J., Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Maher, David P.",,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Reeves, Kenneth E",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2001officialcitycouncilresults.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
