Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13
"Bellew, Carole K",735,24,759,2,761,1,762,5,767,4,771,17,788,23,811,50,861,-861,0,0,0,0,0,0,0
"Davis, Henrietta",1846,50,1896,5,1901,3,1904,5,1909,11,1920,30,1950,27,1977,32,2009,0,2009,0,2009,0,2009,0,2009
"DeBergalis, Matt S.",1206,10,1216,4,1220,7,1227,2,1229,4,1233,9,1242,41,1283,59,1342,99,1441,53,1494,146,1640,-1640,0
"Decker, Marjorie C.",1378,47,1425,3,1428,4,1432,5,1437,5,1442,21,1463,23,1486,42,1528,113,1641,146,1787,222,2009,0,2009
"Dixon, Yincent Lawrence",64,0,64,1,65,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Galluccio, Anthony D.",2994,-985,2009,0,2009,0,2009,0,2009,0,2009,0,2009,0,2009,0,2009,0,2009,0,2009,0,2009,0,2009
"Greenwood, Dan J.",39,2,41,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hall, Robert L., Sr.",96,5,101,13,114,9,123,-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kelley, Craig A.",992,21,1013,3,1016,5,1021,30,1051,11,1062,8,1070,24,1094,24,1118,63,1181,-1181,0,0,0,0,0
"King, Elbridge A, Jr.",361,11,372,5,377,4,381,6,387,12,399,7,406,-406,0,0,0,0,0,0,0,0,0,0,0
"LaTremouille, Robert J",126,5,131,2,133,3,136,6,142,-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Maher, David P.",1190,240,1430,3,1433,2,1435,9,1444,4,1448,5,1453,46,1499,6,1505,68,1573,125,1698,141,1839,170,2009
"Murphy, Brian",1362,34,1396,2,1398,3,1401,2,1403,7,1410,13,1423,23,1446,33,1479,116,1595,147,1742,267,2009,0,2009
"Pitkin, John",1010,22,1032,2,1034,3,1037,7,1044,13,1057,9,1066,25,1091,39,1130,93,1223,270,1493,-1493,0,0,0
"Reeves, Kenneth E.",1525,77,1602,5,1607,4,1611,7,1618,12,1630,7,1637,30,1667,28,1695,40,1735,72,1807,91,1898,111,2009
"Simmons, Denise",1181,51,1232,1,1233,6,1239,11,1250,9,1259,15,1274,25,1299,109,1408,71,1479,90,1569,208,1777,232,2009
"Smith, Aimee Louise",480,4,484,5,489,1,490,1,491,8,499,18,517,10,527,-527,0,0,0,0,0,0,0,0,0
"Sullivan, Michael A.",1656,237,1893,2,1895,5,1900,5,1905,5,1910,8,1918,35,1953,23,1976,33,2009,0,2009,0,2009,0,2009
"Taymorberry, Laurie",188,5,193,0,193,1,194,3,197,11,208,-208,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toomey, Timothy J., Jr.",1613,140,1753,0,1753,2,1755,2,1757,7,1764,12,1776,14,1790,15,1805,54,1859,62,1921,88,2009,0,2009
Write-In P1,36,0,36,-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In Other,2,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,21,21,2,23,17,40,19,59,29,88,60,148,67,215,111,326,216,542,330,872,1127,1999
Invalid,878,0,878,0,878,0,878,0,878,0,878,0,878,0,878,0,878,0,878,0,878,0,878,0,878
Total,20958,0,20958,0,20958,0,20958,0,20958,0,20958,0,20958,0,20958,0,20958,0,20958,0,20958,0,20958,0,20958
,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,11/4/2003,,,,,,,,,,,,,,,,,,,,,,,,
Counted Dates,11/4/2003,11/5/2003,,,,,,,,,,,,,,,,,,,,,,,
Total,20958,,,,,,,,,,,,,,,,,,,,,,,,
Quota,2009,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidates,,,,,,,,,,,,,,,,,,,,,,,,
1,"Galluccio, Anthony D.",,,,,,,,,,,,,,,,,,,,,,,,
2,"Davis, Henrietta",,,,,,,,,,,,,,,,,,,,,,,,
3,"Sullivan, Michael A.",,,,,,,,,,,,,,,,,,,,,,,,
4,"Decker, Marjorie C.",,,,,,,,,,,,,,,,,,,,,,,,
5,"Murphy, Brian",,,,,,,,,,,,,,,,,,,,,,,,
6,"Toomey, Timothy J., Jr.",,,,,,,,,,,,,,,,,,,,,,,,
7,"Reeves, Kenneth E.",,,,,,,,,,,,,,,,,,,,,,,,
8,"Maher, David P.",,,,,,,,,,,,,,,,,,,,,,,,
9,"Simmons, Denise",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2003citycouncil.pdf,,,,,,,,,,,,,,,,,,,,,,,,
