Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11
"Adkins, Lawrence J.",243,4,247,2,249,3,252,4,256,3,259,-259,0,0,0,0,0,0,0,0,0
"Condit III, James E",42,0,42,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis, Henrietta",1459,23,1482,5,1487,3,1490,11,1501,6,1507,22,1529,10,1539,69,1608,0,1608,0,1608
"Decker, Marjorie C.",1524,31,1555,6,1561,2,1563,6,1569,6,1575,24,1599,5,1604,4,1608,0,1608,0,1608
"Galluccio, Anthony",2001,-393,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608
"Gordon, Jesse A.",626,11,637,4,641,5,646,6,652,23,675,15,690,28,718,-718,0,0,0,0,0
"Green, Andre Lerone",181,4,185,3,188,6,194,5,199,-199,0,0,0,0,0,0,0,0,0,0,0
"Hall Sr, Robert Lee",75,4,79,2,81,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hees, Bill",198,1,199,5,204,7,211,7,218,55,273,5,278,-278,0,0,0,0,0,0,0
"Kelley, Craig A.",1042,12,1054,0,1054,5,1059,15,1074,14,1088,25,1113,53,1166,114,1280,82,1362,246,1608
"LaTremouille, Robert J.",118,2,120,2,122,0,122,-122,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maher, David P.",902,55,957,3,960,5,965,7,972,10,982,8,990,47,1037,30,1067,-1067,0,0,0
"Murphy, Brian",1236,7,1243,1,1244,2,1246,8,1254,5,1259,7,1266,16,1282,97,1379,229,1608,0,1608
"Reeves, Kenneth E.",1207,35,1242,1,1243,12,1255,10,1265,8,1273,57,1330,4,1334,54,1388,115,1503,105,1608
"Seidel, Sam",973,4,977,3,980,4,984,9,993,9,1002,18,1020,24,1044,163,1207,65,1272,-1272,0
"Simmons, Denise",1330,20,1350,2,1352,7,1359,7,1366,14,1380,44,1424,6,1430,78,1508,100,1608,0,1608
"Sullivan, Michael A",1464,122,1586,3,1589,7,1596,8,1604,4,1608,0,1608,0,1608,0,1608,0,1608,0,1608
"Toomey Jr, Timothy J.",1432,57,1489,1,1490,0,1490,2,1492,11,1503,10,1513,16,1529,27,1556,52,1608,0,1608
Write-In P1,17,1,18,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,17,17,13,30,17,47,31,78,24,102,69,171,82,253,424,677,921,1598
Invalid,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132
Total,16202,0,16202,0,16202,0,16202,0,16202,0,16202,0,16202,0,16202,0,16202,0,16202,0,16202
,,,,,,,,,,,,,,,,,,,,,
Election Date,11/8/2005,,,,,,,,,,,,,,,,,,,,
Count Dates,11/8/2005,11/9/2005,,,,,,,,,,,,,,,,,,,
Total,16202,,,,,,,,,,,,,,,,,,,,
Quota,1608,,,,,,,,,,,,,,,,,,,,
Elected,Candiate,,,,,,,,,,,,,,,,,,,,
1,Galluccio. Anthony,,,,,,,,,,,,,,,,,,,,
2,"Sullivan, Michael A",,,,,,,,,,,,,,,,,,,,
3,"Decker, Marjorie c.",,,,,,,,,,,,,,,,,,,,
4,"Davis, Henrietta",,,,,,,,,,,,,,,,,,,,
5,"Toomey Jr, Timothy J.",,,,,,,,,,,,,,,,,,,,
6,"Murphy, Brian",,,,,,,,,,,,,,,,,,,,
7,"Simmons, Denise",,,,,,,,,,,,,,,,,,,,
8,"Kelley, Craig A.",,,,,,,,,,,,,,,,,,,,
9,"Reeves, Kenneth E.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2005officialmunicipalelectionresults.pdf,,,,,,,,,,,,,,,,,,,,
