Candidates,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15,Transfer 16,Count 16,Transfer 17,Count 17
"Adkins, Lawrance J.",103,3,106,1,107,0,107,1,108,0,108,13,121,5,126,-126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheung, Leland",756,18,774,9,783,7,790,3,793,2,795,7,802,7,809,15,824,15,839,19,858,37,895,43,938,74,1012,193,1205,119,1324,208,1532
"Davis, Henrietta",1858,-262,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596
"Flanagan, Mark F.",112,3,115,2,117,3,120,1,121,0,121,6,127,4,131,9,140,-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glick, Silvia P.",256,10,266,3,269,0,269,1,270,2,272,6,278,11,289,6,295,25,320,10,330,-330,0,0,0,0,0,0,0,0,0,0,0
"Kelley, Craig A.",1250,38,1288,9,1297,10,1307,3,1310,5,1315,6,1321,7,1328,9,1337,6,1343,13,1356,42,1398,50,1448,58,1506,90,1596,0,1596,0,1596
"Leavitt, Neal W.",136,3,139,0,139,1,140,0,140,1,141,1,142,2,144,3,147,8,155,-155,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mahar, David P.",1286,21,1307,12,1319,28,1347,1,1348,1,1349,1,1350,7,1357,1,1358,7,1365,12,1377,13,1390,38,1428,39,1467,45,1512,84,1596,0,1596
"Marquardt, Charles J.",385,3,388,2,390,3,393,1,394,1,395,1,396,5,401,7,408,5,413,10,423,29,452,20,472,-472,0,0,0,0,0,0,0
"Moree, Gregg J.",47,0,47,2,49,1,50,0,50,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Podgers, Kathy",78,0,78,4,82,0,82,1,83,13,96,6,102,-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reeves, Kenneth E.",1166,32,1198,63,1261,16,1277,4,1281,5,1286,8,1294,10,1304,30,1334,13,1347,9,1356,26,1382,13,1395,24,1419,53,1472,124,1596,0,1596
"Seidel, Sam",900,30,930,22,952,10,962,0,962,2,964,7,971,6,977,3,980,5,985,19,1004,30,1034,94,1128,34,1162,165,1327,246,1573,23,1596
"Simmons, E Denise",1785,0,1785,-189,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596
"Stohlman, Thomas J. Jr.",378,12,390,5,395,2,397,1,398,3,401,5,406,6,412,2,414,5,419,14,433,14,447,-447,0,0,0,0,0,0,0,0,0
"Sullivan, Edward J.",885,3,888,11,899,49,948,0,948,4,952,1,953,2,955,1,956,7,963,6,969,7,976,30,1006,61,1067,38,1105,62,1167,-1167,0
"Toomey, Timothy J., Jr.",1748,0,1748,0,1748,-152,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596
"vanBeuzekom, Minka Y.",682,31,713,12,725,1,726,0,726,2,728,5,733,6,739,10,749,9,758,8,766,51,817,47,864,35,899,-899,0,0,0,0,0
"Ward, Larry W.",736,27,763,18,781,15,796,0,796,2,798,10,808,4,812,12,824,5,829,7,836,20,856,31,887,25,912,100,1012,-1012,0,0,0
"Williamson, James",90,0,90,1,91,1,92,0,92,0,92,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
