Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15,Transfer 16,Count 16,Transfer 17,Count 17
"Benzan, Dennis A.",1301,25,1326,3,1329,3,1332,2,1334,5,1339,16,1355,4,1359,48,1407,1,1408,19,1427,43,1470,28,1498,52,1550,66,1616,159,1775,0,1775
"Carlone, Dennis J.",1151,25,1176,1,1177,8,1185,3,1188,3,1191,11,1202,25,1227,11,1238,12,1250,63,1313,33,1346,29,1375,50,1425,93,1518,30,1548,227,1775
"Cheung, Leland",2391,-616,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775,0,1775
"House, Janneke Ann",410,19,429,0,429,2,431,2,433,1,434,3,437,2,439,8,447,4,451,-451,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kelley, Craig A.",1093,74,1167,4,1171,1,1172,2,1174,1,1175,4,1179,13,1192,10,1202,6,1208,34,1242,38,1280,43,1323,44,1367,107,1474,91,1565,210,1775
"Lee, James",91,10,101,1,102,3,105,1,106,-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leslie, Logan Edward",504,10,514,4,518,1,519,0,519,6,525,1,526,11,537,5,542,2,544,12,556,13,569,-569,0,0,0,0,0,0,0,0,0
"Maher, David P.",1464,68,1532,2,1534,1,1535,3,1538,7,1545,5,1550,5,1555,17,1572,11,1583,20,1603,26,1629,68,1697,44,1741,34,1775,0,1775,0,1775
"Mazen, Nadeem A.",985,36,1021,5,1026,8,1034,5,1039,12,1051,15,1066,8,1074,21,1095,103,1198,66,1264,43,1307,35,1342,90,1432,64,1496,53,1549,226,1775
"McGovern, Marc C.",1187,61,1248,2,1250,0,1250,3,1253,6,1259,4,1263,5,1268,21,1289,19,1308,25,1333,44,1377,32,1409,69,1478,114,1592,87,1679,96,1775
"Mello, Gary W.",107,4,111,1,112,8,120,1,121,1,122,1,123,-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
