Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15
"Benzan, Dennis A.",1159,5,1164,1,1165,2,1167,8,1175,6,1181,3,1184,5,1189,4,1193,16,1209,34,1243,44,1287,64,1351,-1351,0,0,0
"Carlone, Dennis J.",1002,16,1018,0,1018,2,1020,3,1023,0,1023,4,1027,11,1038,10,1048,2,1050,18,1068,261,1329,142,1471,135,1606,180,1786
"Cheung, Leland",1189,6,1195,6,1201,2,1203,3,1206,8,1214,1,1215,5,1220,11,1231,12,1243,23,1266,54,1320,174,1494,212,1706,80,1786
"Connolly, Mike",841,7,848,7,855,5,860,5,865,1,866,3,869,6,875,32,907,13,920,34,954,-954,0,0,0,0,0,0,0
"Courtney, Kim",72,0,72,12,84,0,84,0,84,0,84,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davidson, Mariko",853,36,889,6,895,6,901,1,902,3,905,9,914,7,921,25,946,2,948,72,1020,121,1141,-1141,0,0,0,0,0
"Degoes, Jr., Plinio T.",51,1,52,0,52,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devereux, Jan",1307,9,1316,3,1319,7,1326,2,1328,1,1329,15,1344,5,1349,16,1365,13,1378,30,1408,189,1597,184,1781,5,1786,0,1786
"Dietrich, Xavier",27,0,27,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kelley, Craig A.",1434,7,1441,8,1449,1,1450,3,1453,4,1457,2,1459,11,1470,9,1479,14,1493,11,1504,45,1549,83,1632,104,1736,50,1786
"Levy, Ilan S.",153,1,154,1,155,3,158,3,161,0,161,5,166,21,187,-187,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maher, David P.",1637,12,1649,3,1652,2,1654,2,1656,8,1664,2,1666,12,1678,6,1684,56,1740,3,1743,19,1762,24,1786,0,1786,0,1786
"Mahoney, Jr., Paul F.",251,1,252,2,254,1,255,0,255,3,258,2,260,11,271,5,276,-276,0,0,0,0,0,0,0,0,0,0,0
"Mazen, Nadeem A.",1929,-143,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786,0,1786
"McGovern, Marc C.",1202,10,1212,2,1214,0,1214,5,1219,5,1224,1,1225,4,1229,3,1232,18,1250,18,1268,56,1324,80,1404,267,1671,115,1786
"Mello, Gary W.",119,0,119,0,119,1,120,14,134,4,138,8,146,-146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moree, Gregg J.",78,1,79,2,81,1,82,1,83,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanzone, John",32,1,33,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
