Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15,Transfer 16,Count 16,Transfer 17,Count 17,Transfer 18,Count 18,Transfer 19,Count 19
"Benjamin, Ronald",242,11,253,1,254,3,257,2,259,2,261,3,264,5,269,-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burgin, Josh M.",392,1,393,3,396,7,403,0,403,3,406,2,408,6,414,16,430,3,433,8,441,-441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlone, Dennis J.",1176,13,1189,22,1211,4,1215,0,1215,7,1222,7,1229,19,1248,11,1259,16,1275,16,1291,23,1314,18,1332,41,1373,47,1420,60,1480,226,1706,151,1857,234,2091
"D'Ambrosio, Olivia",216,4,220,2,222,4,226,2,228,3,231,6,237,-237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devereux, Jan",1699,38,1737,30,1767,2,1769,3,1772,7,1779,8,1787,35,1822,14,1836,19,1855,24,1879,40,1919,34,1953,80,2033,74,2107,98,2205,48,2253,0,2253,0,2253
"Gebru, Samuel",787,21,808,19,827,2,829,2,831,4,835,3,838,5,843,24,867,4,871,14,885,24,909,38,947,61,1008,-1008,0,0,0,0,0,0,0,0,0
"Harding, Jr., Richard",836,57,893,12,905,2,907,1,908,0,908,8,916,8,924,30,954,8,962,11,973,22,995,21,1016,19,1035,136,1171,73,1244,104,1348,-1348,0,0,0
"Kelley, Craig A.",1092,21,1113,10,1123,6,1129,0,1129,1,1130,3,1133,6,1139,7,1146,11,1157,8,1165,32,1197,28,1225,28,1253,44,1297,89,1386,87,1473,129,1602,397,1999
"Lenke, Dan",54,2,56,0,56,3,59,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Levy, Ilan",246,3,249,2,251,0,251,13,264,5,269,3,272,2,274,2,276,-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallon, Alanna M.",1329,12,1341,31,1372,3,1375,5,1380,4,1384,7,1391,25,1416,10,1426,18,1444,38,1482,29,1511,122,1633,63,1696,130,1826,306,2132,121,2253,0,2253,0,2253
"McGovern, Marc C.",1880,63,1943,16,1959,9,1968,1,1969,5,1974,14,1988,13,2001,15,2016,19,2035,17,2052,38,2090,91,2181,43,2224,29,2253,0,2253,0,2253,0,2253,0,2253
"Moree, Gregg J.",46,1,47,0,47,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Musgrave, Adriane B.",580,5,585,3,588,4,592,2,594,4,598,1,599,4,603,6,609,4,613,13,626,13,639,-639,0,0,0,0,0,0,0,0,0,0,0,0,0
"Okamoto, Nadya T.",550,8,558,7,565,8,573,1,574,15,589,12,601,24,625,13,638,10,648,18,666,13,679,39,718,-718,0,0,0,0,0,0,0,0,0,0,0
"Pillai, Hari I.",107,2,109,5,114,1,115,0,115,-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santos, Jeff",147,2,149,4,153,5,158,1,159,9,168,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siddiqui, Sumbul",2532,0,2532,-279,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253
"Simmons, E. Denise",2616,-363,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253,0,2253
"Sivongxay, Vatsady",740,18,758,50,808,2,810,5,815,10,825,13,838,20,858,4,862,19,881,34,915,7,922,30,952,125,1077,92,1169,53,1222,-1222,0,0,0,0,0
"Sutton, Bryan",45,2,47,0,47,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tierney, Sean",779,9,788,6,794,5,799,1,800,3,803,7,810,9,819,5,824,7,831,13,844,31,875,127,1002,38,1040,105,1145,-1145,0,0,0,0,0,0,0
"Toner, Paul F.",980,12,992,10,1002,8,1010,4,1014,2,1016,4,1020,4,1024,8,1032,16,1048,4,1052,30,1082,25,1107,14,1121,32,1153,154,1307,75,1382,121,1503,-1503,0
