Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7
"Fantini, Alfred B.",2281,0,2281,-70,2211,0,2211,0,2211,0,2211,0,2211
"Grassi, Joseph G.",1990,11,2001,41,2042,1,2043,0,2043,142,2185,26,2211
"Harding Jr, Richard",1981,18,1999,10,2009,0,2009,6,2015,196,2211,0,2211
"Lummis, Ben",1514,18,1532,5,1537,0,1537,0,1537,334,1871,-1871,0
"McGovern, Marc C.",1413,31,1444,8,1452,0,1452,2,1454,-1454,0,0,0
"Nolan, Patricia",2387,-176,2211,0,2211,0,2211,0,2211,0,2211,0,2211
"Schuster, Luc",1843,58,1901,1,1902,0,1902,1,1903,287,2190,21,2211
"Walser, Nancy",2004,40,2044,5,2049,0,2049,6,2055,156,2211,0,2211
Write-In P1,54,0,54,0,54,1,55,-55,0,0,0,0,0
Write-In Other,3,0,3,0,3,-3,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,1,1,40,41,339,380,1824,2204
Invalid,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,15470,0,15470,0,15470,0,15470,0,15470,0,15470,0,15470
,,,,,,,,,,,,,
Election Date,11/8/2005,,,,,,,,,,,,
Count Dates,11/8/2005,11/9/2005,,,,,,,,,,,
Total,15470,,,,,,,,,,,,
Quota,2209,,,,,,,,,,,,
Elected,Candiate,,,,,,,,,,,,
1,"Nolan, Patricia",,,,,,,,,,,,
2,"Fantini, Alfred B.",,,,,,,,,,,,
3,"Walser, Nancy",,,,,,,,,,,,
4,"Harding Jr, Richard",,,,,,,,,,,,
5,"Grassi, Joseph G.",,,,,,,,,,,,
6,"Schuster, Luc",,,,,,,,,,,,
,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2005officialmunicipalelectionresults.pdf,,,,,,,,,,,,
