Candidates,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7
"Fantini, Alfred B",2017,0,2017,-120,1897,0,1897,0,1897,0,1897,0,1897
"Grassi, Joseph G.",1629,36,1665,69,1734,2,1736,7,1743,111,1854,43,1897
"Harding, Richard, Jr.",1562,46,1608,13,1621,2,1623,11,1634,90,1724,-1724,0
"Lemily Wiggins, Gail",1024,23,1047,5,1052,1,1053,31,1084,-1084,0,0,0
"Malner, Stefan",133,6,139,2,141,1,142,-142,0,0,0,0,0
"McGovern, Marc C.",2277,-380,1897,0,1897,0,1897,0,1897,0,1897,0,1897
"Nolan, Patricia",1672,134,1806,17,1823,3,1826,23,1849,48,1897,78,1897
"Schuster, Luc",1680,78,1758,4,1762,1,1763,16,1779,118,1897,0,1897
"Tauber, Nancy",1246,57,1303,10,1313,3,1316,28,1344,475,1819,0,1897
Write-In P1,35,0,35,0,35,-35,0,0,0,0,0,0,0
Write-In Other,1,0,1,0,1,-1,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,23,23,0,49,242,291,1603,1894
Invalid,433,0,433,0,433,0,433,26,433,0,433,0,433
Total,13709,0,13709,0,13709,0,13709,0,13709,0,13709,0,13709
,,,,,,,,,,,,,
Election Date,6/6/2007,,,,,,,,,,,,
Count Date,6/6/2007,6/7/2007,,,,,,,,,,,
Total,13709,,,,,,,,,,,,
Quota,1897,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,
1,"McGovern, Marc C.",,,,,,,,,,,,
2,"Fantini, Alfred B",,,,,,,,,,,,
3,"Nolan, Patricia",,,,,,,,,,,,
4,"Schuster, Luc",,,,,,,,,,,,
5,"Grassi, Joseph G.",,,,,,,,,,,,
6,"Tauber, Nancy",,,,,,,,,,,,
,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2007officialmunicipalelectionresults.pdf,,,,,,,,,,,,
