Candidates,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6
"Fantini, Alfred B",2045,4,2049,6,2055,42,2097,81,2178,26,2204
"Grassi, Joseph G.",1881,3,1884,5,1889,20,1909,94,2003,-2003,0
"Harding, Richard, Jr.",1996,1,1997,6,2003,128,2131,73,2204,0,2204
"McGovern, Marc C.",1954,2,1956,10,1966,30,1996,208,2204,0,2204
"Nolan, Patricia M.",1745,2,1747,10,1757,14,1771,251,2022,182,2204
"Stead, Charles L. Sr.",392,0,392,2,394,-394,0,0,0,0,0
"Steinert, Alan Jr.",1447,1,1448,2,1450,47,1497,-1497,0,0,0
"Tauber, Nancy",2043,4,2047,3,2050,26,2076,128,2204,0,2204
"Turkel, Alice L.",1793,5,1798,7,1805,29,1834,335,2169,35,2204
"WRiTTEN-IN Decker, Marjorie",67,1,68,-68,0,0,0,0,0,0,0
Other positions,62,-62,0,0,0,0,0,0,0,0,0
INVALID,584,0,584,0,584,0,584,0,584,0,584
EXHAUSTED,0,39,39,17,56,58,114,327,441,1760,2201
TOTAL,16009,0,16009,0,16009,0,16009,0,16009,0,16009
,,,,,,,,,,,
Election Date,11/3/2009,,,,,,,,,,
Count Dates,11/30/2009,12/5/2009,,,,,,,,,
Total,16009,,,,,,,,,,
Quota,2204,,,,,,,,,,
Elected,Candidate,,,,,,,,,,
1,"Tauber, Nancy",,,,,,,,,,
2,"Harding, Richard, Jr.",,,,,,,,,,
3,"McGovern, Marc C.",,,,,,,,,,
4,"Fantini, Alfred B",,,,,,,,,,
5,"Turkel, Alice L.",,,,,,,,,,
6,"Nolan, Patricia M.",,,,,,,,,,
,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2009SchoolCommittee_results.pdf,,,,,,,,,,
