Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8
"Cronin, Fran Albin",1832,272,2104,91,2195,0,2195,7,2202,108,2310,61,2371,0,2371
"Fantini, Alfred B.",2859,0,2859,-488,2371,0,2371,0,2371,0,2371,0,2371,0,2371
"Gerber, Joyce C.",1126,308,1434,79,1513,0,1513,3,1516,79,1595,206,1801,-1801,0
"Harding, Jr., Richard",2359,12,2371,0,2371,0,2371,0,2371,0,2371,0,2371,0,2371
"Holland, John J.",589,91,680,118,798,0,798,2,800,59,859,-859,0,0,0
"Kadete, Elechi M.",494,88,582,31,613,0,613,2,615,-615,0,0,0,0,0
"Kelly, Kathleen M.",2102,269,2371,0,2371,0,2371,0,2371,0,2371,0,2371,0,2371
"Nolan, Patricia M.",3921,-1550,2371,0,2371,0,2371,0,2371,0,2371,0,2371,0,2371
"Osborne, Mervan F.",1238,501,1739,167,1906,0,1906,4,1910,155,2065,133,2198,173,2371
Write-In 1,71,8,79,2,81,0,81,-81,0,0,0,0,0,0,0
Write-In 2,0,1,1,0,1,-1,0,0,0,0,0,0,0,0,0
Write-In 6,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,2,2,63,65,214,279,459,738,1628,2366
Total,16592,0,16592,0,16592,0,16592,0,16592,0,16592,0,16592,0,16592
,,,,,,,,,,,,,,,
Date,"November 15, 2013",,,,,,,,,,,,,,
Total,17720,,,,,,,,,,,,,,
Quota,2371,,,,,,,,,,,,,,
Invalid,1128,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,
1,"Nolan, Patricia M.",,,,,,,,,,,,,,
2,"Fantini, Alfred B.",,,,,,,,,,,,,,
3,"Harding, Jr., Richard",,,,,,,,,,,,,,
4,"Kelly, Kathleen M.",,,,,,,,,,,,,,
5,"Cronin, Fran Albin",,,,,,,,,,,,,,
6,"Osborne, Mervan F.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/alerts/alerts2013/2013municipalelectionofficialresults.aspx,,,,,,,,,,,,,,
