Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9
"Bowman, Manikka L.",2768,109,2877,5,2882,69,2951,8,2959,0,2959,0,2959,0,2959,0,2959
"Cronin, Fran A.",1572,52,1624,3,1627,47,1674,76,1750,141,1891,121,2012,249,2261,-2261,0
"Crutchfield, Jake W.",1039,19,1058,1,1059,32,1091,95,1186,87,1273,162,1435,-1435,0,0,0
"Dexter, Emily R.",2378,95,2473,4,2477,89,2566,159,2725,190,2915,44,2959,0,2959,0,2959
"Fantini, Alfred B.",2728,38,2766,1,2767,20,2787,49,2836,68,2904,55,2959,0,2959,0,2959
"Kadete, Elechi M.",846,18,864,1,865,42,907,58,965,61,1026,-1026,0,0,0,0,0
"Kelly, Kathleen M.",1882,85,1967,1,1968,28,1996,77,2073,98,2171,112,2283,255,2538,421,2959
"Kimbrough, Laurance V.",1856,24,1880,1,1881,34,1915,112,2027,62,2089,168,2257,217,2474,485,2959
"MacArthur, William",795,12,807,0,807,57,864,-864,0,0,0,0,0,0,0,0,0
"Mitros, Piotr Flawiusz",511,17,528,1,529,-529,0,0,0,0,0,0,0,0,0,0,0
"Nolan, Patricia M.",3458,-499,2959,0,2959,0,2959,0,2959,0,2959,0,2959,0,2959,0,2959
"Weinstein, David J.",797,30,827,1,828,52,880,65,945,-945,0,0,0,0,0,0,0
Write-In 1,48,0,48,-48,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 2,26,0,26,-26,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 3,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 4,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 6,2,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,59,59,59,118,165,283,238,521,364,885,714,1599,1355,2954
Total,20708,0,20708,0,20708,0,20708,0,20708,0,20708,0,20708,0,20708,0,20708
,,,,,,,,,,,,,,,,,,
Date,"November 17, 2017",,,,,,,,,,,,,,,,,
Total,22452,,,,,,,,,,,,,,,,,
Quota,2959,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,
1,"Nolan, Patricia M.",,,,,,,,,,,,,,,,,
2,"Bowman, Manikka L.",,,,,,,,,,,,,,,,,
3,"Dexter, Emily R.",,,,,,,,,,,,,,,,,
4,"Fantini, Alfred B.",,,,,,,,,,,,,,,,,
5,"Kelly, Kathleen M.",,,,,,,,,,,,,,,,,
6,"Kimbrough, Laurance V.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2017/11/2017municipalelectionofficialresults,,,,,,,,,,,,,,,,,
