Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10
"Allen, Ruth Ryan",893,8,901,14,915,1,916,2,918,38,956,-956,0,0,0,0,0,0,0
"Bowman, Manikka L.",3109,-333,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776
"Dawson, Bernette J.",977,34,1011,21,1032,1,1033,0,1033,57,1090,133,1223,163,1386,300,1686,-1686,0
"Dexter, Emily",3003,0,3003,-227,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776
"Fantini, Alfred B.",2662,114,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776
"Kadete, Elechi M.",815,20,835,32,867,0,867,2,869,-869,0,0,0,0,0,0,0,0,0
"Lim, Christopher",934,16,950,29,979,0,979,2,981,95,1076,101,1177,-1177,0,0,0,0,0
"Rojas Villarreal, Jose Luis",1134,26,1160,40,1200,0,1200,2,1202,203,1405,61,1466,262,1728,340,2068,620,2688
"Weinstein, David J.",975,19,994,23,1017,0,1017,1,1018,112,1130,84,1214,155,1369,-1369,0,0,0
"Weinstein, Rachel B.",2178,32,2210,48,2258,0,2258,3,2261,101,2362,174,2536,212,2748,28,2776,0,2776
"Wilson, Ayesha",2692,64,2756,20,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776,0,2776
Write-In 01,50,0,50,0,50,0,50,-50,0,0,0,0,0,0,0,0,0,0,0
Write-In 02,2,0,2,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 03,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,1,1,38,39,263,302,403,705,385,1090,701,1791,1066,2857
Total,19425,0,19425,0,19425,0,19425,0,19425,0,19425,0,19425,0,19425,0,19425,0,19425
,,,,,,,,,,,,,,,,,,,
Date,"November 15, 2019",,,,,,,,,,,,,,,,,,
Total,21137,,,,,,,,,,,,,,,,,,
Quota,2776,,,,,,,,,,,,,,,,,,
Invalid,1712,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,
1,"Bowman, Manikka L.",,,,,,,,,,,,,,,,,,
2,"Dexter, Emily",,,,,,,,,,,,,,,,,,
3,"Fantini, Alfred B.",,,,,,,,,,,,,,,,,,
4,"Wilson, Ayesha",,,,,,,,,,,,,,,,,,
5,"Weinstein, Rachel B.",,,,,,,,,,,,,,,,,,
6,"Rojas Villarreal, Jose Luis",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2019/11/municipalelectionofficialresults,,,,,,,,,,,,,,,,,,
