Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15
Elizabeth Hudson,3333,-30,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303,0,3303
"Richard N. Harding, Jr.",3043,5,3048,4,3052,12,3064,16,3080,26,3106,35,3141,37,3178,82,3260,43,3303,0,3303,0,3303,0,3303,0,3303,0,3303
Luisa de Paula Santos,2453,0,2453,0,2453,2,2455,11,2466,32,2498,41,2539,32,2571,57,2628,94,2722,72,2794,384,3178,125,3303,0,3303,0,3303
Caitlin E. Dube,2195,3,2198,0,2198,3,2201,17,2218,32,2250,40,2290,19,2309,52,2361,129,2490,60,2550,176,2726,110,2836,467,3303,0,3303
Eugenia Schraa Huh,1956,5,1961,0,1961,5,1966,17,1983,24,2007,23,2030,21,2051,61,2112,40,2152,70,2222,40,2262,110,2372,297,2669,-2669,0
Arjun Kent Jaikumar,1750,1,1751,0,1751,4,1755,15,1770,15,1785,13,1798,21,1819,97,1916,167,2083,75,2158,135,2293,112,2405,419,2824,479,3303
Jane Hirschi,1575,3,1578,0,1578,6,1584,15,1599,15,1614,31,1645,9,1654,92,1746,95,1841,76,1917,155,2072,128,2200,-2200,0,0,0
David J. Weinstein,1517,4,1521,0,1521,2,1523,7,1530,10,1540,15,1555,19,1574,60,1634,32,1666,208,1874,30,1904,481,2385,379,2764,539,3303
José Luis Rojas Villa.,1036,1,1037,1,1038,6,1044,5,1049,7,1056,9,1065,36,1101,58,1159,38,1197,191,1388,25,1413,-1413,0,0,0,0,0
Caroline Mary Lisette .,856,3,859,0,859,2,861,6,867,5,872,6,878,25,903,35,938,25,963,-963,0,0,0,0,0,0,0,0,0
Lilly Havstad,850,0,850,0,850,5,855,3,858,8,866,12,878,6,884,21,905,97,1002,22,1024,-1024,0,0,0,0,0,0,0
Jessica Diaz Goetz,721,1,722,0,722,18,740,4,744,16,760,19,779,18,797,28,825,-825,0,0,0,0,0,0,0,0,0,0,0
Jia-Jing Lee,689,3,692,0,692,5,697,14,711,12,723,11,734,23,757,-757,0,0,0,0,0,0,0,0,0,0,0,0,0
LaQueen Arleen Battle,325,0,325,0,325,7,332,2,334,8,342,6,348,-348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bowers,267,0,267,0,267,1,268,20,288,8,296,-296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Mathilde Coburn,235,0,235,1,236,2,238,7,245,-245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alborz Bejnood,184,0,184,0,184,2,186,-186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanie Gause,108,1,109,0,109,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-in 1,21,0,21,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-in 3,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,"November 4th, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 14th, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,
Total,23115,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,3303,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Elizabeth Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Richard N. Harding Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Luisa De Paula Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Caitlin E. Dube,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Arjun Kent Jaikumar,,,,,,,,,,,,,,,,,,,,,,,,,,
6,David J. Weinstein,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
