# Final piles of ballots, sorted by candidate.
# Created Friday, November 14, 2025 5:28 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Ayah A. Al-Zubi"
.CANDIDATE C02, "Burhan Azeem"
.CANDIDATE C03, "LaQueen Arleen Battle"
.CANDIDATE C04, "Elizabeth Bisio"
.CANDIDATE C05, "Dana Ray Bullister"
.CANDIDATE C06, "Timothy R. Flaherty"
.CANDIDATE C07, "John Hanratty"
.CANDIDATE C08, "Peter Hsu"
.CANDIDATE C09, "Marc C. McGovern"
.CANDIDATE C10, "Ned S. Melanson"
.CANDIDATE C11, "Patricia M. Nolan"
.CANDIDATE C12, "Stanislav A. Rivkin"
.CANDIDATE C13, "Zion Nathaniel Sherin"
.CANDIDATE C14, "Sumbul Siddiqui"
.CANDIDATE C15, "E. Denise Simmons"
.CANDIDATE C16, "Jivan G. Sobrinho-Wheeler"
.CANDIDATE C17, "Ayesha M. Wilson"
.CANDIDATE C18, "Robert Winters"
.CANDIDATE C19, "Catherine Zusy"
.CANDIDATE WI01, "WI - Louise A. Venden"
.CANDIDATE WI02, "Write-in 2"
.CANDIDATE WI03, "Write-in 3"
.CANDIDATE WI04, "Write-in 4"
.CANDIDATE WI05, "Write-in 5"
.CANDIDATE WI06, "Write-in 6"
.CANDIDATE WI07, "Write-in 7"
.CANDIDATE WI08, "Write-in 8"
.CANDIDATE WI09, "Write-in 9"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C01
.EXCLUDE-CANDIDATE C02
.EXCLUDE-CANDIDATE C06
.EXCLUDE-CANDIDATE C09
.EXCLUDE-CANDIDATE C11
.EXCLUDE-CANDIDATE C14
.EXCLUDE-CANDIDATE C15
.EXCLUDE-CANDIDATE C16
.EXCLUDE-CANDIDATE C19

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("Ayah A. Al-Zubi")
# Candidate has 2,537 ballots in his/her pile.
.FINAL-PILE C01
000403-00-00130000012098, 1) C01,C16,C12,C14,C17,C03
000403-00-00130000029902, 1) C01,C16,C02,C14,C19
000403-00-00130000071705, 1) C01,C16,C12,C14,C03,C08
000403-00-00130000097309, 1) C01
000403-00-00130000115268, 1) C01,C16,C12,C14,C17,C03
000403-00-00130000141778, 1) C01,C08,C05,C12,C15,C11,C09,C19
000403-00-00130000142180, 1) C01,C16,C02,C10,C14,C09,C11,C15,C05,C17
000403-00-00130000154962, 1) C01,C05,C14,C16,C02,C11,C15,C17
000403-00-00130000197108, 1) C01,C09,C02,C16,C10,C14,C19,C05
000403-00-00130000224410, 1) C01,C02,C14,C17,C04,C10,C13,C05,C11
000403-00-00130000235284, 1) C01,C05,C16,C02,C09,C14
000403-00-00130000364096, 1) C01,C16,C14,C02,C10,C09,C05,C03,C12
000403-00-00130000406331, 1) C01,C04,C07,C10,C19,C09,C12
000403-00-00130000438787, 1) C01,C16,C12,C14,C02,C19,C17,C11,C15,C18,C09,C05,C04
000403-00-00130000446153, 1) C01,C09,C02,C05,C16
000403-00-00130000459911, 1) C01,C16,C02,C14,C12,C17,C10,C09,C15,C05,C11
000403-00-00130000523977, 1) C01,C05,C10,C16,C09,C02,C14,C12,C03
000403-00-00130000525396, 1) C01,C16,C14,C09,C17
000403-00-00130000573641, 1) C01,C14,C16,C09
000403-00-00130000582432, 1) C01,C14,C16,C05,C19,C02
000403-00-00130000610920, 1) C01,C15,C16,C02,C05,C09,C10
000403-00-00130000614309, 1) C01,C02,C16,C14,C12,C10,C05,C03
000403-00-00130000625195, 1) C01,C02,C16,C09,C14,C05,C10
000403-00-00130000626850, 1) C01,C16,C12,C14,C17,C10,C11
000403-00-00130000629954, 1) C01,C16,C05,C10,C14,C02,C12,C09
000403-00-00130000634541, 1) C01,C02,C16,C14
000403-00-00130000641489, 1) C01,C02,C09,C16,C05,C10,C14,C19,C11,C12,C13,C15,C17,C08,C07
000403-00-00130000643819, 1) C01,C16,C14
000403-00-00130000658214, 1) C01,C04,C13,C07,C11,C08,C17,C12
000403-00-00130000660112, 1) C01
000403-00-00130000668909, 1) C01,C14,C17,C02,C11,C04,C05,C10,C06
000403-00-00130000670431, 1) C01,C16,C14
000403-00-00130000682035, 1) C01,C16,C11,C12,C14
000403-00-00130000683599, 1) C01,C02,C16,C09,C05,C10,C14
000403-00-00130000707794, 1) C01,C12,C16,C09,C10,C14,C11
000403-00-00130000720640, 1) C01,C12,C19,C14,C11
000403-00-00130000749891, 1) C01,C16,C02,C05,C10,C12,C09,C11,C19,C03
000403-00-00130000756583, 1) C01,C16,C11
000403-00-00130000836876, 1) C01,C16,C09,C08,C12,C17
000403-00-00130000852926, 1) C01,C07,C13,C17,C12,C19,C16,C04,C02
000403-00-00130000868586, 1) C01,C08,C02,C05,C16,C10,C14,C11,C12,C09,C19,C13,C15,C17,C04
