C:\Cambridge\Election2025\3 Final 2025\Council_Final\Council Tabular Report (Delimited)
City Council Election
Cambridge, Massachusetts
Final Election Results
November 14, 2025

25,366 valid ballots.
Electing 9 candidates.
Quota is 2537 votes.
There were 232 invalid ballots.
(25,598 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
Ayah A. Al-Zubi|2493.0000000000|2529.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|ELECTED -- 3rd count
Burhan Azeem|1999.0000000000|2043.0000000000|2127.0000000000|2129.0000000000|2134.0000000000|2144.0000000000|2173.0000000000|2178.0000000000|2297.0000000000|2300.0000000000|2334.0000000000|2432.0000000000|2537.0000000000|2537.0000000000|ELECTED -- 13th count
LaQueen Arleen Battle|78.0000000000|79.0000000000|79.0000000000|79.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Elizabeth Bisio|502.0000000000|505.0000000000|505.0000000000|512.0000000000|521.0000000000|542.0000000000|552.0000000000|614.0000000000|625.0000000000|0|0|0|0|0|DEFEATED -- 9th count
Dana Ray Bullister|1199.0000000000|1205.0000000000|1232.0000000000|1232.0000000000|1233.0000000000|1250.0000000000|1266.0000000000|1280.0000000000|1496.0000000000|1535.0000000000|1578.0000000000|1615.0000000000|0|0|DEFEATED -- 12th count
Timothy R. Flaherty|1818.0000000000|1828.0000000000|1840.0000000000|1842.0000000000|1852.0000000000|1884.0000000000|1898.0000000000|1923.0000000000|1935.0000000000|2007.0000000000|2080.0000000000|2189.0000000000|2267.0000000000|2537.0000000000|ELECTED -- 14th count
John Hanratty|1325.0000000000|1326.0000000000|1330.0000000000|1335.0000000000|1337.0000000000|1370.0000000000|1385.0000000000|1480.0000000000|1484.0000000000|1818.0000000000|1976.0000000000|2042.0000000000|2104.0000000000|0|DEFEATED -- 13th count
Peter Hsu|557.0000000000|560.0000000000|566.0000000000|573.0000000000|580.0000000000|590.0000000000|609.0000000000|648.0000000000|667.0000000000|709.0000000000|0|0|0|0|DEFEATED -- 10th count
Marc C. McGovern|2864.0000000000|2864.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|ELECTED -- 1st count
Ned S. Melanson|528.0000000000|537.0000000000|555.0000000000|556.0000000000|556.0000000000|560.0000000000|576.0000000000|584.0000000000|0|0|0|0|0|0|DEFEATED -- 8th count
Patricia M. Nolan|1506.0000000000|1523.0000000000|1554.0000000000|1558.0000000000|1559.0000000000|1577.0000000000|1615.0000000000|1642.0000000000|1685.0000000000|1709.0000000000|1791.0000000000|1884.0000000000|2352.0000000000|2537.0000000000|ELECTED -- 14th count
Stanislav A. Rivkin|337.0000000000|340.0000000000|346.0000000000|348.0000000000|355.0000000000|362.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Zion Nathaniel Sherin|376.0000000000|378.0000000000|382.0000000000|385.0000000000|385.0000000000|399.0000000000|417.0000000000|0|0|0|0|0|0|0|DEFEATED -- 7th count
Sumbul Siddiqui|2869.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|ELECTED -- 1st count
E. Denise Simmons|1642.0000000000|1703.0000000000|1732.0000000000|1738.0000000000|1745.0000000000|1763.0000000000|1783.0000000000|1804.0000000000|1825.0000000000|1841.0000000000|1887.0000000000|2244.0000000000|2480.0000000000|2537.0000000000|ELECTED -- 14th count
Jivan G. Sobrinho-Wheeler|1892.0000000000|1964.0000000000|2028.0000000000|2031.0000000000|2034.0000000000|2037.0000000000|2113.0000000000|2123.0000000000|2214.0000000000|2221.0000000000|2260.0000000000|2422.0000000000|2537.0000000000|2537.0000000000|ELECTED -- 13th count
Ayesha M. Wilson|1032.0000000000|1081.0000000000|1101.0000000000|1107.0000000000|1116.0000000000|1125.0000000000|1151.0000000000|1158.0000000000|1170.0000000000|1193.0000000000|1233.0000000000|0|0|0|DEFEATED -- 11th count
Robert Winters|253.0000000000|256.0000000000|258.0000000000|258.0000000000|259.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Catherine Zusy|2025.0000000000|2037.0000000000|2049.0000000000|2052.0000000000|2056.0000000000|2105.0000000000|2154.0000000000|2239.0000000000|2254.0000000000|2301.0000000000|2419.0000000000|2537.0000000000|2537.0000000000|2537.0000000000|ELECTED -- 12th count
WI - Louise A. Venden|49.0000000000|49.0000000000|49.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 2|22.0000000000|22.0000000000|22.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 3|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 4|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 5|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 6|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 7|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 8|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Write-in 9|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count



Friday, November 14, 2025 5:28 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
