# Final piles of ballots, sorted by candidate.
# Created Friday, November 14, 2025 5:12 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "LaQueen Arleen Battle"
.CANDIDATE C02, "Alborz Bejnood"
.CANDIDATE C03, "Alex Bowers"
.CANDIDATE C04, "Anne Mathilde Coburn"
.CANDIDATE C05, "Luisa de Paula Santos"
.CANDIDATE C06, "Caitlin E. Dube"
.CANDIDATE C07, "Melanie Gause"
.CANDIDATE C08, "Jessica Diaz Goetz"
.CANDIDATE C09, "Richard N. Harding, Jr."
.CANDIDATE C10, "Lilly Havstad"
.CANDIDATE C11, "Jane Hirschi"
.CANDIDATE C12, "Elizabeth Hudson"
.CANDIDATE C13, "Caroline Mary Lisette Hunter"
.CANDIDATE C14, "Arjun Kent Jaikumar"
.CANDIDATE C15, "Jia-Jing Lee"
.CANDIDATE C16, "José Luis Rojas Villarreal"
.CANDIDATE C17, "Eugenia Schraa Huh"
.CANDIDATE C18, "David J. Weinstein"
.CANDIDATE WI01, "Write-in 1"
.CANDIDATE WI02, "Write-in 2"
.CANDIDATE WI03, "Write-in 3"
.CANDIDATE WI04, "Write-in 4"
.CANDIDATE WI05, "Write-in 5"
.CANDIDATE WI06, "Write-in 6"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C05
.EXCLUDE-CANDIDATE C06
.EXCLUDE-CANDIDATE C09
.EXCLUDE-CANDIDATE C12
.EXCLUDE-CANDIDATE C14
.EXCLUDE-CANDIDATE C18

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("LaQueen Arleen Battle")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C02 ("Alborz Bejnood")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C03 ("Alex Bowers")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C04 ("Anne Mathilde Coburn")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C05 ("Luisa de Paula Santos")
# Candidate has 3,303 ballots in his/her pile.
.FINAL-PILE C05
000403-00-00130000018455, 1) C05,C14,C06,C16,C10,C08,C18
000403-00-00130000037026, 1) C05,C10,C08,C06,C14,C04,C17,C11,C15
000403-00-00130000085742, 1) C05,C06,C08,C10,C15,C14,C16,C01,C02,C18,C17
000403-00-00130000093071, 1) C05,C10,C11,C08,C06,C14,C18,C09,C15,C01,C16
000403-00-00130000171595, 1) C05,C10,C08,C06,C17,C04,C14,C11,C15
000403-00-00130000185201, 1) C05,C06,C01,C17,C12,C10
000403-00-00130000204911, 1) C05,C18,C03,C15,C14
000403-00-00130000232756, 1) C05,C06,C10,C08,C14,C11,C04,C17
000403-00-00130000234785, 1) C05,C12,C11,C10,C06,C17,C13,C16
000403-00-00130000234942, 1) C05,C06,C14,C09,C10,C08,C04,C15
000403-00-00130000257928, 1) C05,C14,C08,C10,C06,C11
000403-00-00130000258353, 1) C05,C10,C08,C06,C14,C17,C04,C11,C15
000403-00-00130000282484, 1) C05,C13,C06,C09,C10,C08,C04,C15
000403-00-00130000291741, 1) C05,C06,C10,C08,C04,C17,C14,C11,C15
000403-00-00130000305798, 1) C05,C12
000403-00-00130000317356, 1) C05,C10,C08
000403-00-00130000321675, 1) C05,C06,C08,C10,C14,C15
000403-00-00130000324574, 1) C05,C10,C06,C08,C14,C11,C16
000403-00-00130000340435, 1) C05,C17,C14,C11,C16,C04,C06
000403-00-00130000361453, 1) C05,C10,C08,C06,C17,C04
000403-00-00130000369985, 1) C05,C14,C06,C08,C10,C13,C03,C18,C17,C16
000403-00-00130000500079, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15
000403-00-00130000507486, 1) C05,C10,C08,C06,C14,C04
000403-00-00130000508865, 1) C05,C06,C14,C08,C10,C04,C15,C11
000403-00-00130000517291, 1) C05,C18,C14
000403-00-00130000547135, 1) C05,C14,C08
000403-00-00130000552401, 1) C05,C10
000403-00-00130000598002, 1) C05,C06,C16,C18,C10,C08,C14,C09,C17,C15
000403-00-00130000628125, 1) C05,C06,C08,C10,C11,C14,C18
000403-00-00130000637037, 1) C05,C10,C08,C06,C17,C04,C14,C11,C15
000403-00-00130000645428, 1) C05,C10,C08,C06,C14,C17
000403-00-00130000661671, 1) C05,C06,C09,C10,C08,C14,C04,C15
000403-00-00130000667069, 1) C05,C12,C06,C08,C10,C11,C14,C09
000403-00-00130000688241, 1) C05,C06,C14,C08,C10,C04,C15,C17,C11
000403-00-00130000694864, 1) C05,C10,C08,C06,C14
000403-00-00130000713823, 1) C05,C06,C08,C10,C11,C14,C16,C17
000403-00-00130000751299, 1) C05,C07,C08,C09,C10
000403-00-00130000757534, 1) C05,C06,C14,C18,C16,C08,C10
000403-00-00130000759635, 1) C05,C10,C08,C06,C17,C14,C04,C11,C15
000403-00-00130000778846, 1) C05,C10,C08,C06,C04,C17,C14,C11,C15,C16,C18,C01,C02,C03,C09
000403-00-00130000792992, 1) C05,C14,C06,C12,C16,C09,C08
