Candidate,Total,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-2A,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3,9-1,9-2,9-3,10-1,10-2,10-3,11-1,11-2,11-3
Benzan,1159,13,17,23,140,4,4,46,32,17,87,110,47,18,58,63,52,31,24,24,17,7,4,16,8,1,21,38,50,27,27,30,33,36,34
Carlone,1002,16,27,7,9,1,8,3,12,4,25,30,24,7,26,40,19,18,27,47,59,32,13,46,36,3,71,41,19,58,176,21,7,46,24
Cheung,1189,25,24,20,10,3,15,13,25,16,32,38,42,9,41,37,25,38,46,48,53,22,11,25,48,9,63,54,49,74,104,48,15,68,39
Connolly,841,50,30,32,23,0,8,31,43,12,52,31,20,6,37,23,38,73,33,31,35,11,8,8,10,3,21,16,9,33,27,19,7,38,23
Courtney,72,0,4,1,1,0,1,7,0,3,3,0,2,2,5,4,1,1,4,5,1,0,3,0,1,0,2,1,4,4,5,1,3,3,0
Davidson,853,19,25,34,21,18,13,19,13,14,25,45,40,8,43,44,31,37,64,53,36,14,14,16,26,4,13,13,11,39,33,10,3,33,22
Degoes,51,0,1,0,2,0,2,1,0,0,1,2,1,0,2,2,1,1,3,3,1,2,0,2,0,0,0,2,2,3,7,1,2,3,4
Devereux,1307,9,7,5,4,1,5,7,9,4,6,14,11,7,7,19,12,17,13,16,47,10,4,38,78,0,295,270,114,29,80,106,12,31,20
Dietrich,27,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,3,2,1,1,0,0,2,1,0,0,1,1,1,1,0,1,1,2,0
Kelley,1434,19,16,11,11,2,14,15,8,9,7,46,26,6,24,45,30,39,23,47,89,21,10,27,31,4,37,34,57,153,106,77,19,254,117
Levy,153,20,25,6,0,1,2,7,4,1,1,3,3,2,4,8,0,8,4,5,8,0,1,0,0,2,4,5,3,4,3,1,1,2,15
Maher,1637,17,30,25,16,1,4,10,12,9,13,20,36,17,10,29,30,30,32,59,26,12,7,17,35,5,207,196,232,81,61,48,31,136,143
Mahoney,251,8,11,16,4,0,0,12,8,0,0,4,3,1,1,5,8,7,4,14,1,1,2,4,0,0,10,28,37,7,11,9,3,18,14
Mazen,1929,27,34,34,59,15,16,43,39,22,75,115,101,23,113,97,66,72,58,56,81,21,17,30,20,15,39,48,42,66,54,50,236,89,56
McGovern,1202,10,9,12,7,1,2,6,14,12,39,83,110,12,43,79,71,32,51,40,86,12,5,17,18,3,97,67,42,50,53,34,26,33,26
Mello,119,1,5,3,1,1,1,1,3,2,2,1,15,0,4,11,3,0,3,5,3,3,1,2,1,2,6,7,1,4,6,6,6,6,3
Moree,78,2,0,3,1,0,0,3,0,1,1,2,1,0,3,0,0,2,3,3,0,0,0,2,2,0,0,2,6,8,0,7,3,19,4
Sanzone,32,0,2,1,2,1,0,0,1,0,1,1,3,1,3,3,0,2,1,0,2,0,0,0,0,0,1,1,0,2,1,0,2,1,0
Simmons,1715,29,20,70,126,1,16,39,33,23,71,132,64,27,103,108,44,56,43,36,25,17,13,17,33,7,29,46,71,63,42,94,73,64,80
Toomey,1416,178,267,277,33,1,25,241,25,36,13,11,5,4,17,31,14,49,7,35,2,2,2,2,3,0,6,12,22,17,14,6,9,31,19
vanBeuzekom,1014,15,15,8,32,1,4,19,23,25,65,22,47,11,42,32,34,60,39,66,60,20,6,11,21,5,55,28,30,67,41,19,8,39,44
Waite,274,3,7,5,51,0,0,5,8,4,9,11,15,0,21,8,7,10,3,3,10,0,4,1,0,1,8,7,27,8,6,5,3,10,14
Williamson,72,0,1,1,2,0,0,3,3,3,2,1,2,4,3,2,0,3,2,0,0,1,0,0,0,0,3,2,0,1,8,4,14,5,2
Write-In,27,1,1,1,2,0,2,0,0,0,0,2,0,0,1,1,1,0,1,1,0,1,0,0,1,0,2,0,0,2,4,1,0,1,1
Blank / Invalid,105,1,5,5,2,1,1,1,1,2,0,6,2,3,2,3,1,5,7,12,2,1,0,4,0,3,6,6,5,1,4,4,3,4,2
Total,17959,464,584,601,559,53,143,533,317,219,531,731,620,169,614,694,491,593,496,610,644,210,127,286,372,67,997,925,834,802,873,602,520,972,706
Checksum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
