Candidate,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-2A,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3,9-1,9-2,9-3,10-1,10-2,10-3,11-1,11-2,11-3
Akiba,10,8,16,16,2,5,11,5,6,13,12,11,1,5,10,7,11,4,7,11,10,5,10,3,7,8,16,10,19,15,42,17,9,20
Azeem,13,20,34,13,148,108,25,26,18,45,34,36,6,44,15,41,30,38,32,24,19,10,11,9,2,8,9,9,14,18,17,29,34,22
Carlone,39,32,10,16,2,20,11,14,2,41,22,40,12,35,49,27,38,21,42,57,19,14,62,80,4,169,101,56,65,211,48,18,65,37
Franklin,8,15,10,17,0,7,16,19,13,19,9,10,3,19,19,21,14,9,2,9,2,2,3,5,0,4,8,4,10,5,10,10,12,9
Kelley,16,14,12,4,2,10,15,13,2,11,42,28,8,23,25,40,48,35,36,79,17,11,40,56,5,120,64,73,131,114,58,16,179,75
Kopon,10,18,14,9,2,0,3,4,2,6,7,12,4,11,8,8,13,11,15,37,7,2,26,33,2,50,36,26,21,55,11,6,16,8
Levy,7,18,13,3,0,1,5,2,0,3,0,2,1,0,1,1,1,4,4,3,0,0,3,0,2,3,6,1,3,1,2,5,7,8
Mallon,36,31,14,19,7,17,41,21,20,28,40,43,14,30,54,41,78,26,74,55,17,8,24,20,4,59,86,71,53,62,51,20,58,34
McGovern,32,20,31,27,3,11,29,23,21,54,106,121,13,78,110,61,39,67,53,70,11,9,29,23,6,88,78,91,52,71,59,23,60,52
McNary,1,1,2,2,0,1,1,0,1,9,5,7,3,2,2,0,4,3,3,2,0,1,0,5,0,3,3,4,2,4,1,1,3,1
Mednick,5,4,1,3,1,3,9,4,9,9,15,14,2,8,3,7,26,8,12,9,4,3,4,2,0,10,6,12,23,6,5,4,11,2
Moree,2,0,3,3,0,2,1,0,2,0,1,0,0,0,2,1,1,0,1,3,0,0,0,0,0,1,2,1,2,2,5,2,9,1
Musgrave,30,19,8,12,4,8,6,11,13,15,24,14,7,20,28,38,17,25,25,39,8,5,16,13,6,24,30,18,51,41,25,9,84,33
Nolan,27,12,6,15,1,12,12,6,10,18,47,40,12,23,34,44,32,43,40,71,22,8,48,77,11,288,192,119,90,119,76,8,74,48
Pitkin,14,1,6,4,0,0,1,6,5,9,8,32,1,5,8,8,122,37,69,35,20,6,7,14,1,15,13,10,11,21,7,5,24,11
Siddiqui,67,43,89,85,14,18,47,47,28,51,76,63,30,80,118,90,61,75,59,93,18,15,45,31,13,77,106,67,128,84,102,292,176,128
Simmons,42,24,72,142,11,23,46,32,26,81,153,79,38,145,138,56,65,46,46,28,22,12,29,28,6,32,45,52,63,33,103,107,76,106
Simon,2,1,5,41,0,2,7,3,3,25,16,13,2,10,14,8,8,9,10,15,3,10,6,2,2,4,7,9,9,4,9,5,8,22
Sobrinho-Wheeler,38,32,47,28,7,11,62,42,29,48,70,62,18,47,48,33,59,70,53,41,31,14,25,17,1,23,31,27,61,46,31,14,108,47
Toomey,150,247,232,29,0,12,238,32,48,18,11,20,3,17,36,21,40,10,44,4,3,7,11,7,1,36,92,78,34,31,27,21,79,90
Williams,10,8,7,16,0,2,26,12,12,15,27,16,8,30,31,12,13,25,19,26,12,10,17,50,3,40,38,20,24,24,21,8,19,30
Zondervan,28,38,25,42,11,9,60,38,22,43,54,51,13,54,66,49,71,39,45,57,16,15,31,49,3,50,70,49,67,53,43,8,44,69
Write-In,1,2,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2
Blank / Invalid,1,2,1,2,0,2,7,1,0,1,3,12,1,1,9,0,0,1,5,2,1,0,0,3,0,4,4,3,0,1,9,3,1,5
Total,589,610,658,549,216,284,679,362,292,563,783,726,200,687,828,615,791,606,696,770,262,167,447,527,79,1116,1043,814,934,1021,762,632,1156,860
