Candidate,Total,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3,9-1,9-2,9-3,10-1,10-2,10-3,11-1,11-2,11-3
Al-Zubi,829,12,6,16,41,17,16,16,32,24,33,34,47,48,8,26,58,16,34,36,23,19,30,30,20,26,23,15,27,20,12,21,17,26
Azeem,2250,33,37,82,66,89,75,51,103,99,95,115,91,77,27,82,115,51,88,80,44,28,46,52,24,77,58,57,82,109,50,51,34,82
Brown,407,3,2,1,5,7,7,1,5,7,18,4,7,6,,10,10,6,14,21,18,1,15,20,1,65,62,22,13,28,15,5,,8
Hanratty,610,10,3,5,13,16,6,5,7,13,6,7,8,4,,6,12,16,28,43,20,6,30,25,2,87,18,38,39,67,26,10,7,27
Hsu,151,2,2,20,3,10,2,4,5,1,4,4,4,5,1,2,7,2,2,4,3,2,6,6,,6,8,8,2,6,7,6,2,5
Klein,455,8,6,17,15,9,12,7,21,10,10,13,13,16,1,14,20,14,30,13,5,3,14,12,4,17,13,14,45,22,9,14,8,26
McGovern,2064,20,8,53,49,75,31,32,56,55,139,126,109,90,6,76,81,37,78,88,52,9,69,38,15,93,79,104,112,73,55,46,33,77
McGuirk,699,9,4,19,76,29,11,13,44,16,16,17,20,11,,15,52,10,39,47,13,1,25,12,3,24,32,14,29,33,14,10,17,24
Moree,27,,1,2,2,1,3,,,1,1,1,1,1,,1,2,,,,,,1,,,1,1,2,2,,3,,,
Muchnik,334,2,,4,4,3,1,1,5,10,8,8,11,7,,4,4,6,14,9,9,2,33,10,2,19,14,12,33,55,23,9,1,11
Nolan,2156,17,14,18,33,34,43,17,32,56,30,49,48,36,2,31,102,37,103,95,53,14,83,119,5,298,150,108,127,152,120,34,27,69
Pasquarello,256,9,1,18,9,40,3,,2,1,6,4,3,6,,6,4,1,6,7,6,,9,5,,17,21,12,12,21,13,3,6,5
Pickett,932,4,4,8,7,7,28,6,16,16,11,24,8,13,1,10,64,18,92,38,50,12,41,53,1,99,22,71,43,106,19,8,13,19
Pierre,224,5,,16,24,1,5,37,11,10,6,4,12,7,,11,5,5,4,6,3,,3,1,,4,3,8,5,7,3,5,5,8
Siddiqui,3353,34,19,89,127,69,74,127,103,97,150,83,99,88,6,128,97,52,109,75,49,18,48,51,22,113,138,123,135,133,244,69,408,176
Simmons,1450,21,12,60,39,35,22,73,46,95,89,64,88,56,3,67,52,21,53,21,23,10,21,17,16,33,48,57,49,35,60,32,56,76
Sobrinho-Wheeler,1486,5,3,50,65,51,17,22,74,46,92,42,58,71,4,59,46,26,57,39,24,20,37,23,15,56,45,31,101,74,69,39,29,96
Toner,1987,17,4,86,66,101,48,11,31,21,26,33,20,15,2,25,55,16,60,52,48,6,73,80,4,137,125,144,174,155,69,29,42,212
Totten,770,4,3,18,35,29,9,13,35,56,29,41,21,48,3,23,47,15,58,30,16,6,12,14,6,18,20,30,23,27,16,22,8,35
Walker,352,3,2,7,13,7,13,20,17,13,29,6,17,11,2,9,13,2,11,13,6,1,11,7,4,10,16,17,23,21,4,8,1,15
Wang,256,6,4,14,4,19,8,8,6,1,8,3,14,8,,10,17,4,6,9,6,1,7,9,5,9,8,8,15,24,2,6,2,5
Wilson,1168,15,6,18,23,25,26,52,40,39,66,32,61,31,2,47,41,14,25,45,23,7,24,43,9,28,47,58,59,66,53,51,41,51
Winters,316,4,,5,14,11,6,2,9,10,7,19,5,15,2,7,25,7,11,11,5,5,15,16,5,15,8,7,24,13,7,8,6,12
Zusy,784,2,1,5,5,12,8,5,8,8,110,20,30,43,,74,13,15,21,24,12,10,35,71,4,109,25,19,24,42,9,4,4,12
Write-In,23,,,,,,,2,1,1,,,,2,,,,,3,,1,,1,1,,1,,1,1,1,,,4,3
Blank / Invalid,173,5,1,3,11,6,13,12,4,2,6,4,6,6,,8,4,,5,1,6,,2,4,,4,12,8,2,7,5,4,12,10
Total,23512,250,143,634,749,703,487,537,713,708,995,757,801,721,70,751,946,391,951,807,518,181,691,719,167,1366,996,988,1201,1297,907,494,783,1090
