Candidate,Total,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3,9-1,9-2,9-3,9-1,9-2,9-3,10-1,10-2,10-3,11-1,11-2,11-3
Al-Zubi,2465,31,15,48,64,56,25,35,104,99,107,109,101,105,18,79,116,66,94,80,57,34,60,67,21,79,84,0,79,84,80,99,103,62,68,32,104
Azeem,1854,35,22,85,63,79,40,41,73,64,64,72,55,56,29,52,103,50,77,75,47,19,47,55,23,31,37,0,31,37,29,77,76,59,64,26,61
Battle,73,2,0,4,4,7,3,4,3,0,1,4,0,4,0,1,0,0,1,1,1,1,2,1,1,5,3,0,5,3,2,1,2,3,3,1,0
Bisio,442,9,2,18,12,4,7,1,15,10,8,9,12,10,0,7,27,12,16,12,12,8,18,18,0,23,23,0,23,23,29,20,21,9,7,3,14
Bullister,1133,32,8,27,44,24,35,27,46,49,44,53,43,53,5,32,58,40,38,34,30,3,28,35,13,28,30,0,28,30,21,42,33,34,44,12,30
Flaherty,1839,15,10,100,77,98,42,30,27,24,38,16,18,21,0,32,37,38,71,28,37,10,30,57,2,104,134,0,104,134,146,90,68,62,28,23,88
Hanratty,1149,5,1,12,8,14,9,21,12,13,31,25,15,15,3,23,55,33,48,67,32,7,61,63,0,90,37,0,90,37,39,51,114,53,14,15,36
Hsu,506,7,8,21,18,29,8,13,12,19,8,12,7,9,1,8,10,13,13,9,10,3,13,9,4,24,29,0,24,29,29,27,25,12,8,8,27
McGovern,2769,32,18,77,87,90,44,41,84,97,164,150,127,110,6,81,120,71,115,93,56,19,82,62,16,94,89,0,94,89,81,106,103,100,65,26,80
Melanson,502,13,4,17,7,22,7,6,29,15,25,12,16,33,3,31,15,15,24,20,8,3,19,11,2,16,19,0,16,19,8,15,18,14,8,2,10
Nolan,1521,12,14,27,14,34,18,13,24,31,19,42,33,27,5,26,53,38,66,58,25,7,52,61,4,134,83,0,134,83,59,58,107,67,23,18,52
Rivkin,307,5,1,7,4,7,2,4,5,12,13,8,5,13,1,13,8,15,19,14,9,7,13,10,5,11,8,0,11,8,10,10,13,14,9,8,5
Sherin,341,5,3,10,7,8,4,2,8,5,6,22,14,5,0,4,12,13,19,18,6,0,15,12,0,18,28,0,18,28,4,8,8,11,3,5,12
Siddiqui,2680,32,12,52,97,58,33,126,94,55,105,52,89,82,4,117,82,41,81,53,40,13,54,46,19,74,102,0,74,102,67,88,87,195,68,271,115
Simmons,1477,28,6,62,38,55,24,98,54,94,62,61,85,52,4,60,79,24,36,31,29,8,24,24,10,13,61,0,13,61,51,39,26,59,27,31,48
Sobrinho-Wheeler,1839,15,4,42,50,58,33,26,82,72,108,55,76,80,5,67,80,39,72,70,28,8,46,45,16,38,54,0,38,54,42,111,82,59,64,25,95
Wilson,983,12,3,26,44,16,13,72,38,37,59,19,62,26,0,50,26,11,21,29,17,5,18,12,10,25,26,0,25,26,34,28,26,34,44,46,43
Winters,247,7,2,6,4,11,3,5,11,8,6,8,1,7,0,4,24,7,18,7,3,1,4,8,1,13,7,0,13,7,2,12,14,5,9,1,8
Zusy,1855,10,6,14,10,18,9,8,25,23,112,45,61,60,1,57,43,54,78,87,53,7,101,98,1,178,90,0,178,90,76,71,80,44,12,10,45
Total,23982,307,139,655,652,688,359,573,746,727,980,774,820,768,85,744,948,580,907,786,500,163,687,694,148,998,944,0,998,944,809,953,1006,896,568,563,873
