Body,Type,Other,Date,Time,Status,Id,Attendance,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
Public Safety Committee,Committee,,2020-01-03,09:00 AM,completed,2585,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2585,,,,
City Council,Inaugural,,2020-01-06,10:00 AM,completed,2581,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2581,,,,
Community Benefits Advisory Committee,Regular,,2020-01-13,08:30 AM,completed,2604,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2604,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2172&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2147&Inline=True
City Council,Regular,,2020-01-13,05:30 PM,completed,2584,"Alanna Mallon,Dennis J. Carlone,E. Denise Simmons,Jivan Sobrinho-Wheeler,Marc C. McGovern,Patricia Nolan,Quinton Zondervan,Sumbul Siddiqui,Timothy J. Toomey",https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2584,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2171&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2171&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2145&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2145&Inline=True
Planning Board,Planning Board,,2020-01-14,06:30 PM,completed,2579,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2579,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2170&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2157&Inline=True
Planning Board,Planning Board,,2020-01-21,06:30 PM,completed,2600,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2600,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2173&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2158&Inline=True
Health & Environment Committee,Committee,,2020-01-22,02:30 PM,completed,2606,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2606,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2183&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2183&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2149&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2149&Inline=True
Public Safety Committee,Committee,,2020-01-22,05:00 PM,completed,2605,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2605,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2179&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2179&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2148&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2148&Inline=True
City Council,Regular,,2020-01-27,05:30 PM,completed,2586,"Alanna Mallon,Dennis J. Carlone,E. Denise Simmons,Jivan Sobrinho-Wheeler,Marc C. McGovern,Patricia Nolan,Quinton Zondervan,Sumbul Siddiqui,Timothy J. Toomey",https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2586,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2184&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2184&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2150&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2150&Inline=True
Planning Board,Planning Board,,2020-01-28,06:30 PM,completed,2601,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2601,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2182&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2163&Inline=True
Central Square Advisory Committee,Regular,,2020-01-29,06:00 PM,completed,2583,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2583,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2166&Inline=True,,
Ordinance Committee,Committee,,2020-01-30,05:30 PM,completed,2610,,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2610,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2178&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2178&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2151&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2151&Inline=True
