Body,Type,Other,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
City Council,Inaugural,,01/03/22,10:00 AM,completed,4013,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4013,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3562&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3562&Inline=True,,
Community Benefits Advisory Committee,Regular,,01/03/22,04:00 PM,completed,4036,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4036,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3560&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2456&Inline=True
Planning Board,Planning Board,,01/04/22,06:30 PM,completed,4006,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4006,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3561&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2470&Inline=True
City Council,Regular,,01/10/22,05:30 PM,completed,4014,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4014,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3559&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3559&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2446&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2446&Inline=True
Planning Board,Planning Board,,01/11/22,06:30 PM,cancelled,4007,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4007,,,,
Planning Board,Planning Board,,01/18/22,06:30 PM,completed,4042,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4042,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3564&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2471&Inline=True
City Council,Regular,,01/24/22,05:30 PM,completed,4015,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4015,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3568&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3568&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2448&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2448&Inline=True
Housing Committee,Committee,,01/25/22,04:00 PM,completed,4045,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4045,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3567&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3567&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2510&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2510&Inline=True
Planning Board,Planning Board,,01/25/22,06:30 PM,completed,4008,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4008,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3569&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2472&Inline=True
"Government Operations, Rules & Claims Committee",Committee,,01/26/22,10:30 AM,completed,4043,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4043,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3565&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3565&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2449&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2449&Inline=True
City Council,Regular,,01/31/22,05:30 PM,completed,4016,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4016,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3573&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3573&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2450&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2450&Inline=True
Planning Board,Planning Board,,02/01/22,06:30 PM,completed,4037,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4037,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3572&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2486&Inline=True
