Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2018 #1,2018-01-08 Regular,2018-01-08,1,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6094&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a member of the Public Planting Committee for a term of 2 years, effective January 8, 2018: Sophia Emperador"
CMA 2018 #2,2018-01-08 Regular,2018-01-08,2,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6095&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following persons as a members of the Lesbian, Gay, Bisexual, Transgender, Queer, Plus (LGBTQ+) Commission effective January 8, 2018.  3-year terms:  Bill Barnert, Jessica Daniels, Maya Escobar, Rachel Oppenheimer, Susan Bernstein, Linda Daniels, Kimm Topping."
CMA 2018 #3,2018-01-08 Regular,2018-01-08,3,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6096&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a member of the Community Preservation Act (CPA) Committee for a term of the 5 years, effective January 8, 2018: Michael McDonough and Victoria Bergland."
CMA 2018 #4,2018-01-22 Regular,2018-01-22,1,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6126&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of Timothy Puopolo as a Constable With Power for a term of three years, effective the first day of January, 2018."
CMA 2018 #5,2018-01-22 Regular,2018-01-22,2,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6127&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following persons as Public Weighers for the calendar year 2018 at MICH-LIN Transfer Station, 45 Mooney Street:  Bryan Burdge, James Mabardy, Joseph Mabardy, Jr., Jo Ann Del Vecchio, Michael Guerriero, Daniel Pasquarosa, Nicholas Santolucito, Charles J. Mabardy and Steven McColgan"
CMA 2018 #6,2018-01-22 Regular,2018-01-22,3,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6128&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the  following persons as Public Weighers for the calendar year 2018 at Boston Sand & Gravel Co., 500 Front Street:  Alan Bishop, Michael Denahy, Mark Gilroy, David Kelley, Joe Staples, Wei Li, Kyle Patterson, Sam Magna and John Ehrenkranz"
CMA 2018 #7,2018-01-22 Regular,2018-01-22,4,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6122&CssClass=,8-0-1,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $23,000 from Free Cash to the General Fund Elections Commission Other Ordinary Maintenance Account to reimburse funds used for the 2017 voter guide printing and mailing.  The reimbursement is necessary to cover other election related expenses."
CMA 2018 #8,2018-01-22 Regular,2018-01-22,5,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6129&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following persons as new members of the Commission for Persons with Disabilities for a three year term, effective January 1, 2018: Valerie Pauline Hammond and Philibert Kongtcheu."
CMA 2018 #9,2018-01-22 Regular,2018-01-22,6,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6130&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a member of the Family Policy Council in a Community-at-Large position for a term of 3-years, effective February 7, 2018:  Kim Goldstein."
CMA 2018 #10,2018-01-22 Regular,2018-01-22,7,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6135&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Cultural Investment Portfolio grant from the Massachusetts Cultural Council in the amount of $7,300 to the Grant Fund Historical Commission Salaries and Wages account which will continue to support part-time archives assistants, who maintain the public archive of Cambridge history."
