Unique Identifier,Meeting,Meeting Date,CMA,Policy Order,Application,Sponsor,Co-Sponsors,Amended,Outcome,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Link,Summary,Notes
POR 2019 #255,2019-07-30 Special,7/30/19,,POR 2019 #255,,Marc C. McGovern,"Craig A. Kelley,Sumbul Siddiqui",,Ordained,yes,absent,yes,yes,yes,yes,yes,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2478&MediaPosition=&ID=9847&CssClass=,That the Amendment to Chapter 2.128 Surveillance Ordinance Technology be forwarded to the Public Safety Committee for a hearing.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2019 #327,2019-10-07 Regular,10/7/19,,POR 2019 #327,,Jan Devereux,"Marc C. McGovern,Dennis J. Carlone,Quinton Zondervan",,Ordained,yes,absent,yes,yes,yes,absent,no,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10472&CssClass=,Fuel pump warning labels,BY AFFIRMATIVE VOTE OF SEVEN MEMBERS. . vice mayor devereux spoke in support.. . kelley spoke in opposition. . supports idea but not ordinance.. . councillor carlone spoke in support.. . goes to ordinance committe
POR 2019 #349,2019-10-21 Regular,10/21/19,,POR 2019 #349,,Jan Devereux,"Craig A. Kelley,Dennis J. Carlone,Quinton Zondervan",,Ordained,yes,absent,yes,yes,yes,yes,yes,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10623&CssClass=,Amendment to Chapter 8.12  of the Municipal Ordinances of the City of Cambridge,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2019 #387,2019-12-16 Regular,12/16/19,,POR 2019 #387,,Quinton Zondervan,"Sumbul Siddiqui,Dennis J. Carlone,Marc C. McGovern",,Ordained,yes,absent,yes,yes,yes,yes,yes,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2526&MediaPosition=&ID=11052&CssClass=,"That section 11.202(b) of Article 11.000, entitled SPECIAL REGULATIONS, of the Zoning Ordinance of the City of Cambridge, be amended the table as follows:  January 28, 2020 (Annual Adjustment) $19.10 per square foot  PASSED TO A SECOND READING ON FEBRUARY 24, 2020, TO BE ORDAINED ON OR AFTER MARCH 8, 2020.",TO ORDINANCE COMMITTEE AND PLANNING BOARD FOR REPORT AND RECOMMENDATIONS. BY AFFIRMATIVE VOTE OF NINE MEMBERS
APP 2019 #67,2019-07-30 Special,7/30/19,,,APP 2019 #67,,,,Ordained,yes,no,no,yes,yes,yes,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2478&MediaPosition=&ID=9887&CssClass=,"A revised Petition Has been received from Stephen R. Karp, Trustee of Cambridge Side Galeria Associates trust to amend the Cambridge Zoning Ordinance by adding a new Section 13.100 to Article 13.00 of the Zoning Ordinance  and to amend the Zoning Map to add a new PUD-8 District overlay that certain area (which includes  parcels and portions of ways and streets) labeled as ""PUD-8 district"".",ORDINANCE AND PLANNING BOARD FOR HEARING AND REPORT
APP 2019 #70,2019-09-09 Regular,9/9/19,,,APP 2019 #70,,,,Referred,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2467&MediaPosition=&ID=10024&CssClass=,regarding that the City Council ordain the Zoning language set forth relative the Alewife Quadrangle Northwest overlay District.,TO THE PLANNING BOARD AND TO THE ORDINANCE COMMITTEE
APP 2019 #80,2019-10-07 Regular,10/7/19,,,APP 2019 #80,,,,Ordained,yes,absent,yes,yes,yes,yes,yes,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10510&CssClass=,regarding Harvard Square Zoning Petition.,TO THE ORDINANCE COMMITTEE AND PLANNING BOARD FOR HEARING AND REPORT. 9-0-0
APP 2019 #82,2019-10-21 Regular,10/21/19,,,APP 2019 #82,,,,Ordained,yes,absent,yes,yes,yes,yes,yes,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10659&CssClass=,"A refilling Zoning Petition Has been received from Joseph T. Maguire of Alexandria Real Estate Equities, Inc. transmitting a proposed revised amendment to the zoning ordinance by creating the Grand Junction Pathway Overlay District.",ORDINANCE AND PLANNING BOARD FOR HEARING AND REPORT
APP 2019 #52,2019-11-18 Regular,11/18/19,,,APP 2019 #52,,,,Placed on File,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2523&MediaPosition=&ID=9579&CssClass=,"regarding amending the Municipal Code, Title 2, Chapter 2.78.090 subparagraph E and I by changing six months to twelve months twice in each paragraph to permit the Cambridge Historical Commission to delay the issuance of a demolition permit for twelve months.",ORDAINED 8-0-1
CMA 2018 #169,2018-06-25 Regular,6/25/18,CMA 2018 #169,,,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2151&MediaPosition=&ID=7316&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to proposed amendments to the two following ordinances:   Chapter 2.76 of the Cambridge Municipal Code (the ""Human Rights Ordinance) and proposed amendments to Chapter 14.04 of the Cambridge Municipal Code (the ""Fair Housing Ordinance).",PASSED TO A SECOND READING
CMA 2018 #192,2018-07-30 Regular,7/30/18,CMA 2018 #192,,,,,,Ordained,yes,absent,yes,yes,yes,yes,no,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2186&MediaPosition=&ID=7472&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a draft zoning petition concerning the regulation of cannabis establishments in the City of Cambridge in response to Awaiting Report Item Number 18-75.",REFERRED TO ORDINANCE COMMITTEE AND PLANNING BOARD FOR HEARING AND REPORT
CMA 2018 #224,2018-09-17 Regular,9/17/18,CMA 2018 #224,,,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2258&MediaPosition=&ID=7581&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to additional proposed amendments, as requested by the City Council at the meeting of June 25, 2018, to Chapter 2.76 of the Cambridge Municipal Code (the “Human Rights Ordinance”).",AS AMENDED
CMA 2018 #234,2018-09-24 Regular,9/24/18,CMA 2018 #234,,,,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2259&MediaPosition=&ID=7676&CssClass=,"A communication transmitted from Louis A. DePasquale, City Manager, relative to proposed amendments to the following ordinance: and proposed amendments to Chapter 14.04 of the Cambridge Municipal Code (the ""Fair Housing Ordinance).  Fair Housing (passed to a 2nd reading) AWAITING HOME RULE LEGISLATION-BEFORE PROPOSAL CAN BE ORDAINED",
