Unique Identifier,Agenda Number,Meeting,Meeting Date,Sponsor,Co-Sponsors,Charter Right,Amended,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
POR 2018 #1,1,2018-01-08 Regular,2018-01-08,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6088&CssClass=,"That the City Manager be and hereby is requested to reach out to representatives of supermarkets other than Star Market, such as Market Basket, to determine the possibility of their opening a location at 20 Sidney Street, and to report back to the City Council on this matter.",
POR 2018 #2,2,2018-01-08 Regular,2018-01-08,E. Denise Simmons,,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6091&CssClass=,That the City Manager is requested to reach out to the owner of the Fresh Pond Apartments to inquire as to what is being done to repair and maintain the elevators in those apartment buildings.,
POR 2018 #3,3,2018-01-08 Regular,2018-01-08,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6092&CssClass=,"That the City Manager is requested to provide an update to the City Council on progress made in regards to the Stated Goals of the City Council, as outlined during the 2016-2017 City Council term.",
POR 2018 #4,4,2018-01-08 Regular,2018-01-08,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6093&CssClass=,"That the City Manager is requested to schedule no less than two, and no more than four, cultural sensitivity training sessions for his leadership team and for the City’s elected officials over the course of the next two years.",
POR 2018 #5,5,2018-01-08 Regular,2018-01-08,Jan Devereux,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6097&CssClass=,That the Mayor is requested to change one of the upcoming regular City Council meetings to a Roundtable/Working Meeting discussion regarding the draft version of the Climate Change Preparedness & Resilience Plan for the Alewife Area to be held before the Plan is finalized.,
POR 2018 #6,1,2018-01-22 Regular,2018-01-22,Jan Devereux,Quinton Zondervan,,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6110&CssClass=,"That the City Manager is requested to report back to the City Council regarding efforts to expand the number of electric vehicle charging stations, the feasibility of appropriately placing electric vehicle chargers on residential streets where there is need, the status of possible City fleet replacement to electric vehicles, expanded outreach and education on available rebates and incentive programs, and the feasibility of requiring developers to include a greater number of electric vehicle charging stations in new or substantially renovated multi-unit buildings.",
POR 2018 #7,2,2018-01-22 Regular,2018-01-22,Jan Devereux,"Quinton Zondervan,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6131&CssClass=,"That the City Manager is requested to work with the Department of Public Works to publicize and enforce a “zero tolerance” policy on space savers, working to remove them as quickly as possible following snow events.",
POR 2018 #8,3,2018-01-22 Regular,2018-01-22,Marc C. McGovern,"E. Denise Simmons,Sumbul Siddiqui,Alanna Mallon",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6112&CssClass=,"City Council opposition to the continual erosion of immigrant rights and general compassion by the Trump administration, and voice our support for the continuance of Temporary Protected Status for our Salvadoran friends and residents.",
POR 2018 #9,4,2018-01-22 Regular,2018-01-22,Quinton Zondervan,Jan Devereux,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6143&CssClass=,City Council support of the New York City climate lawsuit.,
POR 2018 #10,5,2018-01-22 Regular,2018-01-22,Quinton Zondervan,"Marc C. McGovern,Jan Devereux",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6145&CssClass=,That the City Manager is requested to explore mechanisms for achieving greater levels of snow clearing by the city and increase the public response during major snow events or heavy snow winters.,
POR 2018 #11,6,2018-01-22 Regular,2018-01-22,Alanna Mallon,,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6146&CssClass=,"That the City Manager is requested to contact representatives from Sira Naturals (formerly Sage Naturals) Medical Marijuana Dispensary for the purpose of gathering information regarding sales figures, customer demographics, and other relevant operational information, and report this information back to the City Council in a timely manner.",
POR 2018 #12,7,2018-01-22 Regular,2018-01-22,Timothy J. Toomey,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6149&CssClass=,That the City Manager is requested to confer with the Chief Information Officer for the City and report back with information regarding electronic device usage and current processes regarding the same.,
POR 2018 #13,8,2018-01-22 Regular,2018-01-22,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6150&CssClass=,That the Mayor is requested to work with the appropriate City staff to establish a method of effectively communicating the new rules for the 2018-2019 City Council term with the members of the public.,
POR 2018 #14,1,2018-01-29 Regular,2018-01-29,Timothy J. Toomey,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6163&CssClass=,That the City Manager is requested to investigate the possibility of changing the snow removal exemption to include two and three-family houses.,
POR 2018 #15,2,2018-01-29 Regular,2018-01-29,Jan Devereux,"Alanna Mallon,Sumbul Siddiqui,Marc C. McGovern",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6180&CssClass=,"That the City Manager is requested to direct the City Solicitor and any other appropriate City departments to report back to the City Council no later than February 26, 2018 with an update on any work that is currently underway regarding regulating adult use marijuana and to suggest next steps to the Council.",
POR 2018 #16,3,2018-01-29 Regular,2018-01-29,Alanna Mallon,Timothy J. Toomey,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6181&CssClass=,"That the City Manager is requested to confer with the Commissioner of Public Works and all other appropriate City departments to review and conduct necessary repairs to the Gold Star Mothers Park and all play and water feature, including drainage issues, with an eye towards mitigating the impacts of local construction and the development of a plan with the community for improving this significant piece of open space.",
POR 2018 #17,4,2018-01-29 Regular,2018-01-29,Alanna Mallon,"E. Denise Simmons,Marc C. McGovern",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6192&CssClass=,That the City Manager is requested to explore funding options for the possibility of creating a Business Improvement District (BID) for Central Square.,
