Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2018 #1,1,2018-01-08 Regular,2018-01-08,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6100&CssClass=,"Congratulations to Gather Here Stitch Lounge on their successful ""Gather Here Holiday Market"" event.",
RES 2018 #2,2,2018-01-08 Regular,2018-01-08,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6102&CssClass=,Thank you to the administration for the addition of the paramedic engine and expanding paramedic service in the East Cambridge area,
RES 2018 #3,3,2018-01-08 Regular,2018-01-08,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2061&MediaPosition=&ID=6103&CssClass=,The City Council congratulates Deputy Superintendent Robert Lowe of the Cambridge Police Department who has been selected and will be joining the FBI's National Academy.,
RES 2018 #4,1,2018-01-22 Regular,2018-01-22,Death Resolution,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6111&CssClass=,"Resolution on the death of Patricia ""Pat"" (Noonan) Jukovsky.",
RES 2018 #5,2,2018-01-22 Regular,2018-01-22,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6113&CssClass=,Congratulations to Father Cristiano Guilherme Borro Barbosa on his 10th Anniversary of his Ordination to the Priesthood.,
RES 2018 #6,3,2018-01-22 Regular,2018-01-22,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6139&CssClass=,Resolution on the death of Lucy Gomes.,
RES 2018 #7,4,2018-01-22 Regular,2018-01-22,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6140&CssClass=,"Resolution on the death of Gerald G. ""Gerry"" Gomes Jr.",
RES 2018 #8,5,2018-01-22 Regular,2018-01-22,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6141&CssClass=,Resolution on the death of Judy A. Cronin.,
RES 2018 #9,6,2018-01-22 Regular,2018-01-22,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6119&CssClass=,Welcoming Philips to the City of Cambridge.,
RES 2018 #10,7,2018-01-22 Regular,2018-01-22,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6144&CssClass=,Congratulations to Cambridge Arborist David Lefcourt for receiving the Massachusetts Tree Wardens' and Foresters' Association's 17th Annual Seth H. Swift Tree Warden of the Year Award,
RES 2018 #11,8,2018-01-22 Regular,2018-01-22,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6138&CssClass=,Resolution on the death of David Harrison.,
RES 2018 #12,9,2018-01-22 Regular,2018-01-22,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6151&CssClass=,"Resolution on the death of Anthony ""Tony"" DeVincentis.",
RES 2018 #13,10,2018-01-22 Regular,2018-01-22,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6152&CssClass=,Resolution on the death of Ellen Marquedaunt.,
RES 2018 #14,11,2018-01-22 Regular,2018-01-22,Happy Birthday Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6153&CssClass=,Happy Birthday wishes to Estelle Disch.,
RES 2018 #15,12,2018-01-22 Regular,2018-01-22,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6154&CssClass=,Wishing the Massachusetts Alliance of Portuguese Speakers a successful gala.,
RES 2018 #16,1,2018-01-29 Regular,2018-01-29,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6158&CssClass=,Thank you to Cambridge Firefighter Sean Williams for rescuing Niko the dog from the Charles River.,
RES 2018 #17,2,2018-01-29 Regular,2018-01-29,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6210&CssClass=,Retirement of Paul Ames from the Cambridge Police Department.,
RES 2018 #18,3,2018-01-29 Regular,2018-01-29,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6217&CssClass=,"Congratulations to Mid-Cambridge residents Pam and Christopher Willis of Pammy’s for being awarded Boston Globe's ""Restaurant of the Year""",
RES 2018 #19,4,2018-01-29 Regular,2018-01-29,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6218&CssClass=,Congratulations to Tracy Chang of Pagu for being awarded Boston Globe’s “Chef of the Year.”,
RES 2018 #20,5,2018-01-29 Regular,2018-01-29,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6220&CssClass=,"Retirement of Charles ""Skip"" Murphy from the Cambridge Fire Department.",
RES 2018 #21,6,2018-01-29 Regular,2018-01-29,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6221&CssClass=,Congratulations to Chris Chung of Momi Nonmi for being awarded Boston Globe’s “Best Passion Project.”,
RES 2018 #22,7,2018-01-29 Regular,2018-01-29,Retirement Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6214&CssClass=,Retirement of Renata von Tscharner from the Charles River Conservancy.,
RES 2018 #23,8,2018-01-29 Regular,2018-01-29,Happy Birthday Resolution,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6215&CssClass=,"Congratulations to the members of the January Coalition, the organizers, and the participants of the Women’s March on the Cambridge Common.",
RES 2018 #24,1,2018-02-05 Regular,2018-02-05,Retirement Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6229&CssClass=,Retirement of Jewel Russell M.Ed. as the Executive Director from the Henry Buckner School.,
RES 2018 #25,2,2018-02-05 Regular,2018-02-05,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6267&CssClass=,Resolution thanking ABC Pizza House for their generous support of the winter warming center by donating dinner nightly since the center opened.,
RES 2018 #26,3,2018-02-05 Regular,2018-02-05,Happy Birthday Resolution,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6211&CssClass=,Congratulations to Nikolas Bowie on his appointment to the Faculty of Harvard Law School.,
RES 2018 #27,4,2018-02-05 Regular,2018-02-05,Happy Birthday Resolution,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6212&CssClass=,Congratulations to Denise Ghartey on her appointment as President of the Harvard Legal Aid Bureau.,
RES 2018 #28,1,2018-02-12 Regular,2018-02-12,Happy Birthday Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6301&CssClass=,Happy 80th Birthday wishes to Patricia Dottin.,
RES 2018 #29,2,2018-02-12 Regular,2018-02-12,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6302&CssClass=,"Congratulations to Secretary-General Antonio Guterres on being named Massachusetts Alliance of Portuguese Speakers ""Person of the Year""",
