Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2020 #1,2020-01-13 Regular,2020-01-13,1,Awaiting Report Response,,POR 2019 #297,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11143&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19- 117, regarding data from 2019 Summer Meals Program."
CMA 2020 #2,2020-01-13 Regular,2020-01-13,2,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11138&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the reappointment of the following person as a member of the Human Rights Commission for a term of three years, effective January 13, 2020:  Olinda Marshall"
CMA 2020 #3,2020-01-13 Regular,2020-01-13,3,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11137&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as new member of the Historical Commission for a term of three years, effective December 18, 2019:  Elizabeth Lyster and Caroline Shannon"
CMA 2020 #4,2020-01-13 Regular,2020-01-13,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11139&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the 2019 Emergency Management Performance Grant (EMPG) from the Federal Emergency Management Agency (FEMA) in the amount of $39,600 to the Grant Fund Fire Extraordinary Expenditures Account ($37,089), and the Grant Fund Fire Travel and Training Account ($2,511) which will fund the purchase of 6 laryngoscopes with a camera attached to a viewable screen to better assess the patient, and also fund the training cost and uniforms for 12 members who will be added to the existing 28 member Cambridge Fire Department Emergency Medical Services Bicycle Team."
CMA 2020 #5,2020-01-13 Regular,2020-01-13,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11142&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the Massachusetts Executive Office of Public Safety and Security's (EOPSS) Traffic Enforcement Grant Program in the amount of $37,500 to the Grant Fund Police Department Salary and Wages account which will fund high-visibility traffic enforcement of motor vehicle laws related to speeding, impaired driving and occupant protection."
CMA 2020 #6,2020-01-13 Regular,2020-01-13,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11140&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the FY20 Violence Against Women Act (VAWA) STOP Grant for $46,302.29 received from the Executive Office of Public Safety and Security (EOPSS) to the Grant Fund Police Department Salaries and Wages account ($41,250) and the Grant Fund Police Department Other Ordinary Maintenance account ($5,052.29) which will provide funds to continue contracting with a civilian advocate to implement the Police Department’s Trauma Informed approach to policing."
CMA 2020 #7,2020-01-27 Regular,2020-01-27,1,Appointment,,,,Referred to Committee,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11187&CssClass=,HOUSING,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the recommendation to reappointment of Gerard Clark as a member of the Cambridge Housing Authority (CHA) Board of Commissioners for a term of 5-years."
CMA 2020 #8,2020-01-27 Regular,2020-01-27,2,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11195&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a new member of the Affordable Housing Trust Board for a term of three years, effective January 22, 2020:  Elaine DeRosa"
CMA 2020 #9,2020-01-27 Regular,2020-01-27,3,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11144&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the reappointment of the following members of the LGBTQ+ Commissioner for a term of three years, effective February 6, 2020: Mal Malme, Robert Parlin, Aren Stone, Catherine Grams, Noelani Kamelamela, Gregory MacDonough and Britt Huhmann"
CMA 2020 #10,2020-01-27 Regular,2020-01-27,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11190&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $46,000 from Free Cash to the General Fund Elections Department Salary and Wages account ($6,145) and to the General Fund Elections Department Other Ordinary Maintenance account ($39,855) which will be used to cover the additional costs associated with recently approved early voting for the Presidential Primary, March 3rd, 2020."
