Unique Identifier,Meeting,Meeting Date,CMA,Policy Order,Application,Sponsor,Co-Sponsors,Amended,Outcome,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Yeas,Nays,Present,Absent,Link,Summary,Notes
POR 2019 #349,2020-01-13 Regular,1/13/20,,POR 2019 #349,,Jan Devereux,"Craig A. Kelley,Dennis J. Carlone,Quinton Zondervan",,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=10623&CssClass=,Amendment to Chapter 8.12  of the Municipal Ordinances of the City of Cambridge,
POR 2019 #255,2020-01-13 Regular,1/13/20,,POR 2019 #255,,Marc C. McGovern,"Craig A. Kelley,Sumbul Siddiqui",,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=9847&CssClass=,That the Amendment to Chapter 2.128 Surveillance Ordinance Technology be forwarded to the Public Safety Committee for a hearing.,
POR 2020 #4,2020-01-13 Regular,1/13/20,,POR 2020 #4,,Quinton Zondervan,,,Ordained,yes,yes,yes,yes,yes,no,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11155&CssClass=,TPO Extension PO,referred to the health and environment committee.
POR 2019 #327,2020-01-27 Regular,1/27/20,,POR 2019 #327,,Jan Devereux,"Marc C. McGovern,Dennis J. Carlone,Quinton Zondervan",,Ordained,yes,yes,yes,yes,yes,absent,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=10472&CssClass=,Fuel pump warning labels,
POR 2020 #14,2020-01-27 Regular,1/27/20,,POR 2020 #14,,Dennis J. Carlone,"Marc C. McGovern,Quinton Zondervan,Sumbul Siddiqui",,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11242&CssClass=,"That the Cambridge City Council amend the Municipal Ordinances of the City of Cambridge to insert a new Chapter 2.129, entitled WELCOMING COMMUNITY ORDINANCE",
POR 2019 #387,2020-03-02 Regular,3/2/20,,POR 2019 #387,,Quinton Zondervan,"Sumbul Siddiqui,Dennis J. Carlone,Marc C. McGovern",,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11052&CssClass=,"That section 11.202(b) of Article 11.000, entitled SPECIAL REGULATIONS, of the Zoning Ordinance of the City of Cambridge, be amended the table as follows:  January 28, 2020 (Annual Adjustment) $19.10 per square foot  PASSED TO A SECOND READING ON FEBRUARY 24, 2020, TO BE ORDAINED ON OR AFTER MARCH 8, 2020.",
POR 2020 #50,2020-03-16 Regular,3/16/20,,POR 2020 #50,,Jivan Sobrinho-Wheeler,"Marc C. McGovern,Quinton Zondervan,Alanna Mallon",,Ordained,yes,yes,yes,yes,yes,absent,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11540&CssClass=,That the “2020 Cycling Safety Ordinance” be forwarded to the Ordinance Committee for discussion and recommendation.,EXERCISED BY COUNCILLOR SOBRINHO-WHEELER
POR 2020 #129,2020-06-08 Regular,6/8/20,,POR 2020 #129,,Marc C. McGovern,"E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey",,Ordained,yes,yes,no,yes,no,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2644&MediaPosition=&ID=11956&CssClass=,"100% Affordable Housing Overlay Zoning Petition 2020.  REFERRED TO ORDINANCE COMMITTEE IN COUNCIL JUNE 10, 2020",
POR 2020 #147,2020-06-22 Regular,6/22/20,,POR 2020 #147,,Dennis J. Carlone,,,Ordained,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2646&MediaPosition=&ID=12093&CssClass=,"Green Energy Analysis Zoning Amendment. PASSED TO A SECOND READING ON NOVEMBER 2, 2020. TO BE ORDAINED ON OR AFTER NOVEMBER 23, 2020",REFERRED TO ORDINANCE AND PLANNING BOARD FOR HEARING AND REPORT by councillor Carlone.
POR 2020 #180,2020-07-27 Special,7/27/20,,POR 2020 #180,,Sumbul Siddiqui,"Alanna Mallon,Marc C. McGovern,Quinton Zondervan",,Ordained,yes,yes,yes,yes,yes,absent,yes,absent,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2656&MediaPosition=&ID=12316&CssClass=,"The City Manager be and hereby is requested to confer with the City of Cambridge Law Department to review the above changes to the language of the Domestic Partnerships Ordinance and report back to the Council.  PASSED TO A SECOND READING IN COUNCIL JULY 27, 2020.  TO BE ORDAINED ON OR AFTER SEPTEMBER 14, 2020",
POR 2020 #240,2020-10-26 Regular,10/26/20,,POR 2020 #240,,Dennis J. Carlone,"Patricia Nolan,Jivan Sobrinho-Wheeler,Quinton Zondervan",,Ordained,yes,yes,yes,yes,yes,absent,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2690&MediaPosition=&ID=12847&CssClass=,"That the City Council adopt a municipal ordinance to reduce or limit campaign donations from donors seeking to enter into a contract, seeking approval for a special permit or up-zoning, seeking to acquire real estate from the city, or seeking financial assistance from the city;  Ordinance #2020-27.  PLACED ON THE TABLE IN COUNCIL NOVEMBER 8, 2021 PASSED TO A SECOND READING IN COUNCIL DECEMBER 6, 2021 TO ORDAINED ON OR AFTER DECEMBER 20, 2021",charter right by councillor simmons
POR 2020 #264,2020-11-16 Regular,11/16/20,,POR 2020 #264,,Quinton Zondervan,"Sumbul Siddiqui,Jivan Sobrinho-Wheeler,Patricia Nolan",,Ordained,yes,yes,yes,yes,yes,absent,yes,no,yes,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2756&MediaPosition=&ID=13003&CssClass=,"That the enclosed amendments to the Tree Protection Ordinance be adopted to extend the temporary prohibition on tree cutting permits until February 28, 2021.","PASSED TO A SECOND READING IN COUNCIL NOVEMBER 16, 2020 TO BE ORDAINED ON OR AFTER NOVEMBER 30, 2020"
