Unique Identifier,Agenda Number,Meeting,Meeting Date,Sponsor,Co-Sponsors,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Amended,Link,Summary,Notes
POR 2020 #1,1,2020-01-13 Regular,2020-01-13,E. Denise Simmons,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11130&CssClass=,Dedication Request for William J. Brathwaite Sr.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #2,2,2020-01-13 Regular,2020-01-13,Alanna Mallon,Marc C. McGovern,,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11147&CssClass=,Supporting Small Business and the Arts through Tourism,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #3,3,2020-01-13 Regular,2020-01-13,Timothy J. Toomey,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11151&CssClass=,That the Executive Assistant to the City Council confer with the Dedication Committee to consider the request from Councillor Toomey for a suitable dedication in the vicinity of Mount Auburn Hospital in honor of William Sarchrioni Sr.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #4,4,2020-01-13 Regular,2020-01-13,Quinton Zondervan,,,Referred to Committee,6-2-1,yes,yes,absent,yes,yes,yes,no,yes,no,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11155&CssClass=,TPO Extension PO,referred to the health and environment committee.
POR 2020 #5,5,2020-01-13 Regular,2020-01-13,Alanna Mallon,Sumbul Siddiqui,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11159&CssClass=,"That the City Council encourage the citizens of Cambridge to honor Dr. Martin Luther King, Jr. by performing acts of kindness through service to others and participating in Many Helping Hands – Cambridge MLK Day of Service.",BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #6,1,2020-01-27 Regular,2020-01-27,Timothy J. Toomey,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11152&CssClass=,That the City Manager is requested to confer with the Commissioner of Public Works on updating the department’s maintenance plan with an emphasis on cleaning open-trash receptacles more frequently.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #7,2,2020-01-27 Regular,2020-01-27,Alanna Mallon,"Sumbul Siddiqui,E. Denise Simmons,Marc C. McGovern",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11167&CssClass=,That the City Manager be and is hereby requested to confer with the Cambridge Police Commissioner and other relevant departments to determine the feasibility of purchasing sensory bags for Police vehicles as a pilot program,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #8,3,2020-01-27 Regular,2020-01-27,Marc C. McGovern,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11181&CssClass=,That the City Manager is requested to work with all relevant city and state departments to amend the Do Not Enter sign at the entrance of Whittemore Avenue from Alewife Brook Parkway to include an exception for abutters.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #9,4,2020-01-27 Regular,2020-01-27,Sumbul Siddiqui,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11185&CssClass=,"Cancellation of the Regular City Council Meeting March 9, 2020",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #10,5,2020-01-27 Regular,2020-01-27,Alanna Mallon,"Jivan Sobrinho-Wheeler,Sumbul Siddiqui",,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11196&CssClass=,"That the City Manager is requested to confer with relevant City Departments, and, where relevant, the MBTA and counterparts in other municipalities for routes not wholly in Cambridge, on the feasibility of instituting and funding a fare-free pilot bus program.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #11,6,2020-01-27 Regular,2020-01-27,Sumbul Siddiqui,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11197&CssClass=,"That the Mayor is requested to schedule a Roundtable/Working Meeting for members of the City Council and School Committee for Tuesday, February 11, 2020.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #12,7,2020-01-27 Regular,2020-01-27,Sumbul Siddiqui,Marc C. McGovern,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11229&CssClass=,"That the City Manager is requested to confer with the Director of the Traffic, Parking and Transportation Department on the potential for implementing sufficient traffic-calming solutions on Upton Street.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #13,8,2020-01-27 Regular,2020-01-27,Jivan Sobrinho-Wheeler,Marc C. McGovern,,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11231&CssClass=,That the City Manager is requested to confer with relevant City departments regarding the acquisition and implementation of interpretation services for City Council meetings and other public City meetings.,
POR 2020 #14,9,2020-01-27 Regular,2020-01-27,Dennis J. Carlone,"Marc C. McGovern,Quinton Zondervan,Sumbul Siddiqui",,Passed to a Second Reading,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11242&CssClass=,"That the Cambridge City Council amend the Municipal Ordinances of the City of Cambridge to insert a new Chapter 2.129, entitled WELCOMING COMMUNITY ORDINANCE",
POR 2020 #15,10,2020-01-27 Regular,2020-01-27,Sumbul Siddiqui,"Alanna Mallon,E. Denise Simmons,Timothy J. Toomey",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11233&CssClass=,"Declare January 31, 2020 as “Volunteer Income Tax Assistance and Earned Income Tax Credit Awareness Day""  in the City of Cambridge.",
POR 2020 #18,1,2020-02-03 Regular,2020-02-03,E. Denise Simmons,"Alanna Mallon,Dennis J. Carlone",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11251&CssClass=,"That the City Manager is requested to review the roles, responsibilities, and compensation of City Council Aides with an eye toward designating this as a full-time position.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #19,2,2020-02-03 Regular,2020-02-03,Timothy J. Toomey,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11278&CssClass=,"That the City Manager be and hereby is requested to direct the Traffic, Parking and Transportation Department, the Community Development Department and any other relevant City departments to work in conjunction with the MBTA to provide an update on the Lechmere Station closure, the replacement bus services and the community outreach they plan on executing.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #20,3,2020-02-03 Regular,2020-02-03,Timothy J. Toomey,"Jivan Sobrinho-Wheeler,Quinton Zondervan",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11279&CssClass=,That the City Manager be and hereby is requested to confer with the Department of Public Works and any other relevant City departments to update the Council on the plans for the Cambridge Recycling Center.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #21,4,2020-02-03 Regular,2020-02-03,Timothy J. Toomey,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11282&CssClass=,"That the City Manager be and hereby is requested to instruct the Director of the Traffic, Parking and Transportation Department to work with the residents in the vicinity of Eustis Street to implement traffic calming measures on this street.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #22,5,2020-02-03 Regular,2020-02-03,Marc C. McGovern,Dennis J. Carlone,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11277&CssClass=,Improvements to STR Ordinance to Enhance Compliance,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #24,6,2020-02-03 Regular,2020-02-03,Jivan Sobrinho-Wheeler,"Quinton Zondervan,Sumbul Siddiqui",,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11304&CssClass=,Thanking Charlotte Moore and Eileen Caves for their Art Exhibition titled “The Olive Trees are Weeping: Visions of Occupied Palestine through Fiber Art and Photographs” and City Council solidarity with the people of Palestine.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #23,7,2020-02-03 Regular,2020-02-03,E. Denise Simmons,Sumbul Siddiqui,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11290&CssClass=,"Recognizing February 2020 as Black History Month in the City of Cambridge, and that the City Council encourages residents across the community to delve into the many contributions that African-American citizens have made in Cambridge since this city’s earliest days.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #25,1,2020-02-10 Regular,2020-02-10,E. Denise Simmons,Sumbul Siddiqui,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11322&CssClass=,"That the City Manager is requested to direct the appropriate City staff to work with the residents of the Agassiz neighborhood in furthering this important neighborhood conversation and in helping make a determination as to how to arrive at an appropriate, official name change for this neighborhood.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #26,2,2020-02-10 Regular,2020-02-10,E. Denise Simmons,Timothy J. Toomey,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11328&CssClass=,"That the City Manager is requested to rename the maintenance area within the Ryan Garage at 147 Hampshire Street in honor of Sydney Cox, with this becoming known as the “Sydney James Cox Maintenance Facility.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #27,3,2020-02-10 Regular,2020-02-10,Marc C. McGovern,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11332&CssClass=,That the Executive Assistant to the City Council confer with the Dedication Committee to consider the request from Councillor McGovern to find a suitable location near Roosevelt Towers to honor Randy Thomas,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #28,4,2020-02-10 Regular,2020-02-10,Patricia Nolan,"Jivan Sobrinho-Wheeler,Sumbul Siddiqui",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11333&CssClass=,That the City Manager is requested to confer with relevant City departments on the feasibility of instituting a program to install rings on parking meters to expand bicycle parking options.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #29,5,2020-02-10 Regular,2020-02-10,Patricia Nolan,"Marc C. McGovern,Sumbul Siddiqui,Quinton Zondervan,Dennis J. Carlone",,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11336&CssClass=,City Council support of the full Massachusetts Indigenous Legislative Agenda.,BY AFFIRMATIVE VOTE OF NINE MEMBERS. . Councillor Carlone added as co-sponsor
POR 2020 #30,6,2020-02-10 Regular,2020-02-10,Sumbul Siddiqui,"Alanna Mallon,Dennis J. Carlone,Marc C. McGovern",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11340&CssClass=,"That the City Manager is requested to confer with the Department of Human Services and other relevant departments to determine the feasibility of both expanding the Head Start program hours and adding additional scholarships to improve access to high-quality, early childhood educational resources.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #31,7,2020-02-10 Regular,2020-02-10,Quinton Zondervan,"Sumbul Siddiqui,Jivan Sobrinho-Wheeler,Patricia Nolan",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11347&CssClass=,"That the City Council go on record calling for the Parliament of India to uphold the Indian constitution by repealing the Citizenship Amendment Act, stopping the National Register of Citizens, and taking steps towards helping refugees by ratifying various UN treaties on refugees.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #32,8,2020-02-10 Regular,2020-02-10,Patricia Nolan,"Alanna Mallon,Marc C. McGovern",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11351&CssClass=,City Council support of the City Manager’s request to purchase the National Guard Armory of Cambridge.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #33,9,2020-02-10 Regular,2020-02-10,Sumbul Siddiqui,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11350&CssClass=,"That a Roundtable/Working Meeting be scheduled for Tuesday, February 25, 2020 at 3:00 pm in the Sullivan Chamber of City Hall for the purpose of discussing legislative priorities",BY AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #41,1,2020-02-24 Regular,2020-02-24,Marc C. McGovern,"E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey",,Referred,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11405&CssClass=,100% Affordable Housing Overlay Zoning Petition 2020.,to the planning board and the ordinance committee
POR 2020 #35,2,2020-02-24 Regular,2020-02-24,Alanna Mallon,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11385&CssClass=,That the City Manager is requested to confer with the Department of Public Works and other relevant City Departments to determine the feasibility of limiting the number of Saturdays and holidays any one developer can be permitted for any one construction project.,
POR 2020 #36,3,2020-02-24 Regular,2020-02-24,Sumbul Siddiqui,Alanna Mallon,,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11386&CssClass=,That the City Manager is requested to confer with Director of Cambridge Public Libraries to determine the feasibility of eliminating late fines.,motion to amend third whereas
POR 2020 #37,4,2020-02-24 Regular,2020-02-24,Marc C. McGovern,"Timothy J. Toomey,Patricia Nolan,Alanna Mallon",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11390&CssClass=,That the City Manager be and hereby is requested to confer with all relevant City departments and agencies to implement an appropriate shut down time and lighting to add to the plan at Glacken Field,
POR 2020 #38,5,2020-02-24 Regular,2020-02-24,Jivan Sobrinho-Wheeler,"Marc C. McGovern,Quinton Zondervan,Patricia Nolan",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11392&CssClass=,That the Department of Conservation and Recreation reconsider a road diet and protected bike lane for Gerrys Landing Road.,
POR 2020 #39,6,2020-02-24 Regular,2020-02-24,Jivan Sobrinho-Wheeler,"Alanna Mallon,Quinton Zondervan,Sumbul Siddiqui",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11397&CssClass=,"That the City Manager is hereby requested to confer with relevant City departments and the MBTA on the feasibility of implementing additional dedicated bus lanes, as well as fully separate protected bicycle lanes.",councillor toomey in the negative.
POR 2020 #40,7,2020-02-24 Regular,2020-02-24,Patricia Nolan,"E. Denise Simmons,Jivan Sobrinho-Wheeler,Marc C. McGovern,Quinton Zondervan",,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11398&CssClass=,That the City Manager is requested to produce a Request For Proposal for the municipal broadband feasibility study that was called for by the City's Broadband Task Force in August 2016.,zondervan motion to add 2nd whereas approved.. . Councillor zondervan added as a sponsor.
POR 2020 #42,1,2020-03-02 Regular,2020-03-02,E. Denise Simmons,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11411&CssClass=,Dedication Request for Brother Blue and Ruth Hill,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #43,2,2020-03-02 Regular,2020-03-02,E. Denise Simmons,"Timothy J. Toomey,Patricia Nolan,Sumbul Siddiqui",,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11412&CssClass=,Policy Order re Preparations for Coronavirus Outbreak,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #44,3,2020-03-02 Regular,2020-03-02,Sumbul Siddiqui,,,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11434&CssClass=,"That the Mayor is requested to schedule a Roundtable/Working Meeting for members of the City Council and School Committee for Thursday, March 24, 2020.",BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #45,4,2020-03-02 Regular,2020-03-02,Alanna Mallon,"Sumbul Siddiqui,Quinton Zondervan,Dennis J. Carlone",,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11450&CssClass=,That the City Manager be and is hereby requested to confer with the Economic Development Division of the Community Development Department to prepare a report on any steps it has taken to work towards developing a Vacant Storefront Registration Policy,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #46,5,2020-03-02 Regular,2020-03-02,Quinton Zondervan,"E. Denise Simmons,Jivan Sobrinho-Wheeler,Sumbul Siddiqui",,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11467&CssClass=,"That the City Manager be and hereby is requested to direct staff to begin including a “Racial Equity Impact Statement” on all relevant agenda items including, but not limited to, appointments, appropriations, ordinances, legal opinions, policies, procedures and regulations, beginning on March 9, 2020.",BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #47,6,2020-03-02 Regular,2020-03-02,Sumbul Siddiqui,"Dennis J. Carlone,Marc C. McGovern,E. Denise Simmons",,Adopted,,,,,,,,,,,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11471&CssClass=,"City Council support for legislation that would allow for the adoption of fees on the transfer of real estate for use in creating new funding for affordable housing trusts, including H.2457, H.2552, and the consensus bill.",BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #48,7,2020-03-02 Regular,2020-03-02,Sumbul Siddiqui,,,Adopted,Voice Vote,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11481&CssClass=,"That the City Manager is requested to confer with the Mayor’s Office, the Chief Public Health Officer of the Cambridge Public Health Department and other relevant City personnel to plan and collaborate events for Mental Health Awareness Month.",BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
POR 2020 #49,1,2020-03-16 Regular,2020-03-16,E. Denise Simmons,"Dennis J. Carlone,Sumbul Siddiqui",,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11513&CssClass=,Coronavirus mitigation.,
POR 2020 #50,2,2020-03-16 Regular,2020-03-16,Jivan Sobrinho-Wheeler,"Marc C. McGovern,Quinton Zondervan,Alanna Mallon",Jivan Sobrinho-Wheeler,Charter Right,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11540&CssClass=,That the “2020 Cycling Safety Ordinance” be forwarded to the Ordinance Committee for discussion and recommendation.,EXERCISED BY COUNCILLOR SOBRINHO-WHEELER
POR 2020 #51,3,2020-03-16 Regular,2020-03-16,Dennis J. Carlone,"Sumbul Siddiqui,Quinton Zondervan,Jivan Sobrinho-Wheeler,Marc C. McGovern",,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11543&CssClass=,That the City Council approve a Real Estate Transfer Fee Home Rule Petition.,add mcgovern as co-sponsor. 
POR 2020 #52,4,2020-03-16 Regular,2020-03-16,Timothy J. Toomey,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11548&CssClass=,That the City Manager be and hereby is requested to confer with the Inspectional Service Department to increase the fines for absentee property owners who continue to have violations stemming for rodent infestations.,
POR 2020 #53,5,2020-03-16 Regular,2020-03-16,Patricia Nolan,"Alanna Mallon,Dennis J. Carlone",,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11550&CssClass=,That the City Council go on record stating its intent to have Cambridge be one of the pilot communities if Senate Bill 2553 passes,
POR 2020 #54,6,2020-03-16 Regular,2020-03-16,Quinton Zondervan,"Jivan Sobrinho-Wheeler,Patricia Nolan",,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11552&CssClass=,"That the City Manager be and hereby is requested to take all necessary actions to protect the population, including, but not limited to, cancelling all non-essential events and gatherings, allowing staff to work from home when possible, providing visitor screening at senior living facilities, and preparing emergency medical facilities for treating respiratory infections.",
POR 2020 #55,7,2020-03-16 Regular,2020-03-16,Jivan Sobrinho-Wheeler,Sumbul Siddiqui,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11554&CssClass=,That the City Council calls on the state government to mandate paid sick-leave policies and a moratorium on utility shutoffs during the COVID-19 outbreak.,
POR 2020 #56,8,2020-03-16 Regular,2020-03-16,Jivan Sobrinho-Wheeler,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11555&CssClass=,That the City Manager is requested to direct the Water Department to avoid all non-essential water shutoffs during the course of the COVID-19 outbreak.,
POR 2020 #57,9,2020-03-16 Regular,2020-03-16,Marc C. McGovern,"Sumbul Siddiqui,Alanna Mallon",,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11558&CssClass=,"That the City Manager is requested to work with all relative City Departments to develop a comprehensive plan on how to best support our homeless residents, shelters and the programs that support them, including, but not limited to, reaching out to area hotels and colleges about opening space for Cambridge’s homeless to have shelter, issuing emergency funds to shelters so they can stay open during the day, and including our homeless population in any food outreach being organized by the City.",
POR 2020 #58,10,2020-03-16 Regular,2020-03-16,Sumbul Siddiqui,"Alanna Mallon,E. Denise Simmons,Jivan Sobrinho-Wheeler",,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2593&MediaPosition=&ID=11559&CssClass=,"Support for HD.4935, An Act Providing for a Moratorium on Evictions and Foreclosures During the COVID-19 Emergency",
POR 2020 #59,1,2020-03-23 Regular,2020-03-23,E. Denise Simmons,Sumbul Siddiqui,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2594&MediaPosition=&ID=11571&CssClass=,City Council support of Senator Ron Wyden’s forthcoming legislation calling for the delay of federal REAL ID requirements until September 2021.,
POR 2020 #60,2,2020-03-23 Regular,2020-03-23,Jivan Sobrinho-Wheeler,E. Denise Simmons,,Adopted,8-0-0-1,yes,yes,yes,yes,yes,yes,yes,present,yes,,,,,,Yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2594&MediaPosition=&ID=11581&CssClass=,"That the Cambridge City Council requests that brokers, landlords, and real estate agents not to show housing units with current occupants during the COVID-19 pandemic",
