Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Link,Description,Notes
RES 2020 #1,1,01/13/20 Regular,01/13/20,Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11119&CssClass=,Resolution Wishing Quick Recovery to Carmen Heller,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #2,2,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11120&CssClass=,Resolution on the death of Carol Cerf,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #3,3,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11121&CssClass=,Resolution on the death of Lynne R. (Ellcock) Collins,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #4,4,01/13/20 Regular,01/13/20,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11122&CssClass=,Wishing Emma Watkins a Happy Retirement,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #5,5,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11123&CssClass=,Resolution on the death of Susan Noon-Forster.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #6,6,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11124&CssClass=,Resolution on the death of Dawn M. Pereira.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #7,7,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11125&CssClass=,Resolution on the death of Lorraine Grassia.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #8,8,01/13/20 Regular,01/13/20,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11126&CssClass=,Congratulations to Binoj Pradhan and Shweta Rajbhandari on their recent marriage.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #9,9,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11127&CssClass=,Resolution on the death of Thomas F. Courtney.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #10,10,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11128&CssClass=,Resolution on the death of Dorothy Cherico.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #11,11,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11131&CssClass=,Resolution on the death of Joseph Nicoloro.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #12,12,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11132&CssClass=,Resolution on the Death of Frederick R. Cruickshank.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #13,13,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11133&CssClass=,Resolution on the death of Ethel Rothman.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #14,14,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11134&CssClass=,Resolution on the death of Dr. Martin Annis.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #15,15,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11135&CssClass=,Resolution on the death of Flora Athanas.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #16,16,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11145&CssClass=,Resolution on the death of Anita Butler.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #17,17,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11146&CssClass=,Resolution on the death of Stephen Latorella.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #18,18,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11148&CssClass=,Resolution on the death of Mary-Louise Daly,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2020 #19,19,01/13/20 Regular,01/13/20,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2584&MediaPosition=&ID=11158&CssClass=,Resolution on the death of Patricia Anne (Drinkard) English-Pierce.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
