Unique Identifier,Department,Category,Policy Order,Link,Description
AR-16-111,City Clerk's Office,Awaiting Report,POR 2016 #318,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=14664&CssClass=,Report on the potential of building below market rental housing on City-owned parking lots along Bishop Allen Drive. On a communication from Councillor McGovern requesting that this matter be forwarded to the 2018-2019 Legislative Session.
AR-18-38,City Manager's Office,Awaiting Report,POR 2018 #83,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=6707&CssClass=,"Report on inventory of all City-owned vacant buildings and lots and the City's plans for them, if any."
AR-19-66,City Manager's Office,Awaiting Report,POR 2019 #184,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=9494&CssClass=,"Report on whether it is possible to reduce or eliminate Building Permit Fees for 100% affordable housing development projects, through an exemption or other means and investigate what types of real estate tax abatements are possible for 100% affordable housing moving forward."
AR-19-145,City Manager's Office,Awaiting Report,POR 2019 #348,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=10692&CssClass=,"Report on reviewing all the City’s policies and procedures related to the procurement, installation and disposal of artificial turf."
AR-19-147,City Manager's Office,Awaiting Report,POR 2019 #354,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=10737&CssClass=,"Report on installing hearing loop technology inside the Sullivan Chamber as part of the upcoming renovations to City Hall, and in other critical City meeting venues wherever possible and other accessibility improvements."
AR-20-6,City Manager's Office,Awaiting Report,POR 2020 #13,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=11269&CssClass=,Report on the acquisition and implementation of interpretation services for City Council meetings and other public City meetings.
AR-20-27,City Manager's Office,Awaiting Report,POR 2020 #142,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=12143&CssClass=,"Report on the advantages and disadvantages of continuing with Civil Service, and the process by which Cambridge could exit Civil Service."
AR-20-60,City Manager's Office,Awaiting Report,POR 2020 #252,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=12969&CssClass=,Report on  analyzing eviction data from 2018 through 2021 and come back with a plan on how to use this data to inform our next action steps.
AR-20-61,City Manager's Office,Awaiting Report,POR 2020 #261,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=13034&CssClass=,Report on an update on City-Owned Vacant Properties Inventory.
AR-20-72,City Manager's Office,Awaiting Report,POR 2020 #285,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=13240&CssClass=,Report on the condition of 105 Windsor Street and cost estimates of any repairs needed and provide  recommendations on how to develop any other underused properties based on an inclusive public process centered in the Port neighborhood.
