Unique Identifier,Meeting,Meeting Date,CMA,Policy Order,Application,Sponsor,Co-Sponsors,Amended,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
ORD 2022 # 18,2022-11-07 Regular,2022-11-07,,POR 2022 #276,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4183&MediaPosition=&ID=17326&CssClass=,"An Ordinance has been received, relative to Reevaluation of Housing Contribution Rate, Incentive Zoning Petition, Section 11.202 (d) of Article 11.000 entitled SPECIAL REGULATIONS, Ordinance #2022-18, as amended.  PASSED TO A SECOND READING IN COUNCIL OCTOBER 31, 2022 TO BE ORDAINED ON OR AFTER NOVEMBER 21, 2022",
ORD 2022 # 18,2022-11-14 Regular,2022-11-14,,POR 2022 #276,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4184&MediaPosition=&ID=17326&CssClass=,"An Ordinance has been received, relative to Reevaluation of Housing Contribution Rate, Incentive Zoning Petition, Section 11.202 (d) of Article 11.000 entitled SPECIAL REGULATIONS, Ordinance #2022-18, as amended.  PASSED TO A SECOND READING IN COUNCIL OCTOBER 31, 2022 TO BE ORDAINED ON OR AFTER NOVEMBER 21, 2022",
ORD 2022 # 18,2022-11-21 Regular,2022-11-21,,POR 2022 #276,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4185&MediaPosition=&ID=17326&CssClass=,"An Ordinance has been received, relative to Reevaluation of Housing Contribution Rate, Incentive Zoning Petition, Section 11.202 (d) of Article 11.000 entitled SPECIAL REGULATIONS, Ordinance #2022-18, as amended.  PASSED TO A SECOND READING IN COUNCIL OCTOBER 31, 2022 TO BE ORDAINED ON OR AFTER NOVEMBER 21, 2022",AS AMENDED WITH LANGUAGE FROM CMA #7
ORD 2022 # 16,2023-01-09 Regular,2023-01-09,,POR 2022 #131,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17747&CssClass=,"An Ordinance has been received from Diane P. LeBlanc City Clerk, relative to Banning Limited Services Pregnancy Centers - Ordinance #2022-16 PASSED TO A SECOND READING IN COUNCIL DECEMBER 19, 2022 TO BE ORDAINED ON OR AFTER JANUARY 9, 2023",
ORD 2022 # 20,2023-01-09 Regular,2023-01-09,,POR 2022 #186,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4248&MediaPosition=&ID=17768&CssClass=,"An Ordinance has been received from Diane P. LeBlanc City Clerk, relative to Emissions Accounting Zoning Petition (Ordinance #2022-20)  PASSED TO A SECOND READING IN COUNCIL DECEMBER 19, 2022 TO BE ORDAINED ON OR AFTER JANUARY 9, 2023 EXPIRES ON MARCH 6, 2023 ORDINANCE AMENDED IN COUNCIL FEBRUARY 27, 2023",
ORD 2022 # 20,2023-01-23 Regular,2023-01-23,,POR 2022 #186,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17768&CssClass=,"An Ordinance has been received from Diane P. LeBlanc City Clerk, relative to Emissions Accounting Zoning Petition (Ordinance #2022-20)  PASSED TO A SECOND READING IN COUNCIL DECEMBER 19, 2022 TO BE ORDAINED ON OR AFTER JANUARY 9, 2023 EXPIRES ON MARCH 6, 2023 ORDINANCE AMENDED IN COUNCIL FEBRUARY 27, 2023",
ORD 2022 # 23,2023-01-23 Regular,2023-01-23,CMA 2022 #207,,,,,,Ordained,7 to 0,yes,yes,absent,absent,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4249&MediaPosition=&ID=17851&CssClass=,"An Ordinance has been received from Diane P. LeBlanc City Clerk, relative to Ordinance #2022-23 Removing the Limit on BZA Compensation. PASSED TO A SECOND READING IN COUNCIL JANUARY 9, 2023 TO BE ORDAINED ON OR AFTER JANUARY 30, 2023 EXPIRES ON MARCH 14, 2023",
ORD 2022 # 20,2023-02-06 Regular,2023-02-06,,POR 2022 #186,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=17768&CssClass=,"An Ordinance has been received from Diane P. LeBlanc City Clerk, relative to Emissions Accounting Zoning Petition (Ordinance #2022-20)  PASSED TO A SECOND READING IN COUNCIL DECEMBER 19, 2022 TO BE ORDAINED ON OR AFTER JANUARY 9, 2023 EXPIRES ON MARCH 6, 2023 ORDINANCE AMENDED IN COUNCIL FEBRUARY 27, 2023",
ORD 2022 # 23,2023-02-06 Regular,2023-02-06,CMA 2022 #207,,,,,,Ordained,7 to 0,yes,yes,absent,absent,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4251&MediaPosition=&ID=17851&CssClass=,"An Ordinance has been received from Diane P. LeBlanc City Clerk, relative to Ordinance #2022-23 Removing the Limit on BZA Compensation. PASSED TO A SECOND READING IN COUNCIL JANUARY 9, 2023 TO BE ORDAINED ON OR AFTER JANUARY 30, 2023 EXPIRES ON MARCH 14, 2023",
ORD 2022 # 20,2023-02-13 Regular,2023-02-13,,POR 2022 #186,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4252&MediaPosition=&ID=17768&CssClass=,"An Ordinance has been received from Diane P. LeBlanc City Clerk, relative to Emissions Accounting Zoning Petition (Ordinance #2022-20)  PASSED TO A SECOND READING IN COUNCIL DECEMBER 19, 2022 TO BE ORDAINED ON OR AFTER JANUARY 9, 2023 EXPIRES ON MARCH 6, 2023 ORDINANCE AMENDED IN COUNCIL FEBRUARY 27, 2023",
