Unique Identifier,Meeting,Meeting Date,CMA,Policy Order,Application,Sponsor,Co-Sponsors,Amended,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Joan Pickett,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
ORD 2024 # 1,2024-04-01 Regular,2024-04-01,CMA 2024 #27,,,,,,Ordained,7 to 0,yes,yes,absent,absent,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4474&MediaPosition=&ID=22424&CssClass=,An Ordinance has been received relative to amending Section 3.34.070 Authorized Revolving Funds.,
ORD 2024 # 1,2024-04-08 Regular,2024-04-08,CMA 2024 #27,,,,,,Ordained,7 to 0,yes,yes,absent,absent,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4475&MediaPosition=&ID=22424&CssClass=,An Ordinance has been received relative to amending Section 3.34.070 Authorized Revolving Funds.,
ORD 2024 # 2,2024-06-17 Regular,2024-06-17,,,APP 2024 #12,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4483&MediaPosition=&ID=24453&CssClass=,"An Ordinance has been received from the Ordinance Committee, relative to proposed: Zoning Petition to amend Articles 2.000, 4.000, 5.000, 6.000, 11.000, 13.000, 14.000, 17.000, 20.000, and 22.000 of the Cambridge Zoning Ordinance PASSED TO A SECOND READING IN COUNCIL JUNE 10, 2024 TO BE ORDAINED ON OR AFTER JUNE 24, 2024 EXPIRES AUGUST 20, 2024",
ORD 2024 # 2,2024-06-24 Regular,2024-06-24,,,APP 2024 #12,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4484&MediaPosition=&ID=24453&CssClass=,"An Ordinance has been received from the Ordinance Committee, relative to proposed: Zoning Petition to amend Articles 2.000, 4.000, 5.000, 6.000, 11.000, 13.000, 14.000, 17.000, 20.000, and 22.000 of the Cambridge Zoning Ordinance PASSED TO A SECOND READING IN COUNCIL JUNE 10, 2024 TO BE ORDAINED ON OR AFTER JUNE 24, 2024 EXPIRES AUGUST 20, 2024",
ORD 2024 # 3,2024-09-09 Regular,2024-09-09,CMA 2024 #68,,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4572&MediaPosition=&ID=24851&CssClass=,"An Ordinance has been received from City Clerk, relative to Tenants Rights 8.71.040.2 Notice by the City, City may publicize and provide information at events/programs about the requirements of",
ORD 2024 # 9,2024-11-18 Regular,2024-11-18,CMA 2024 #182,,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26114&CssClass=,"An Ordinance has been received from City Clerk, relative to ARTICLE 2.000 DEFINITIONS",
ORD 2024 # 9,2024-11-25 Regular,2024-11-25,CMA 2024 #182,,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4584&MediaPosition=&ID=26114&CssClass=,"An Ordinance has been received from City Clerk, relative to ARTICLE 2.000 DEFINITIONS",
ORD 2024 # 9,2024-12-02 Regular,2024-12-02,CMA 2024 #182,,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4585&MediaPosition=&ID=26114&CssClass=,"An Ordinance has been received from City Clerk, relative to ARTICLE 2.000 DEFINITIONS",
ORD 2024 # 5,2024-12-09 Regular,2024-12-09,CMA 2024 #267,,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26073&CssClass=,"An Ordinance has been received from City Clerk, relative to Flexible Parking Corridor Zoning Petition. ADOPTED AS A CITY COUNCIL ZONING PETITION AND REFERRED TO THE ORDINANCE COMMITTEE AND PLANNING BOARD IN COUNCIL OCTOBER 21, 2024.  PASSED TO A SECOND READING IN COUNCIL DECEMBER 2, 2024",
ORD 2024 # 6,2024-12-09 Regular,2024-12-09,CMA 2024 #229,,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26074&CssClass=,"An Ordinance has been received from City Clerk, relative to the Parking and Transportation Demand Management (PTDM) Municipal Ordinance. REFERRED TO THE ORDINANCE COMMITTEE IN COUNCIL OCTOBER 21, 2024  PASSED TO A SECOND READING IN COUNCIL DECEMBER 2, 2024",
ORD 2024 # 7,2024-12-09 Regular,2024-12-09,CMA 2024 #229,,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26075&CssClass=,"An Ordinance has been received from City Clerk, relative to the Commercial Parking Space Permits Municipal Ordinance. REFERRED TO THE ORDINANCE COMMITTEE IN COUNCIL OCTOBER 21, 2024.  PASSED TO A SECOND READING IN COUNCIL DECEMBER 2, 2024",
ORD 2024 # 9,2024-12-09 Regular,2024-12-09,CMA 2024 #182,,,,,yes,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26114&CssClass=,"An Ordinance has been received from City Clerk, relative to ARTICLE 2.000 DEFINITIONS",
ORD 2024 # 5,2024-12-16 Regular,2024-12-16,CMA 2024 #267,,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4587&MediaPosition=&ID=26073&CssClass=,"An Ordinance has been received from City Clerk, relative to Flexible Parking Corridor Zoning Petition. ADOPTED AS A CITY COUNCIL ZONING PETITION AND REFERRED TO THE ORDINANCE COMMITTEE AND PLANNING BOARD IN COUNCIL OCTOBER 21, 2024.  PASSED TO A SECOND READING IN COUNCIL DECEMBER 2, 2024",
ORD 2024 # 6,2024-12-16 Regular,2024-12-16,CMA 2024 #229,,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4587&MediaPosition=&ID=26074&CssClass=,"An Ordinance has been received from City Clerk, relative to the Parking and Transportation Demand Management (PTDM) Municipal Ordinance. REFERRED TO THE ORDINANCE COMMITTEE IN COUNCIL OCTOBER 21, 2024  PASSED TO A SECOND READING IN COUNCIL DECEMBER 2, 2024",
ORD 2024 # 7,2024-12-16 Regular,2024-12-16,CMA 2024 #229,,,,,,Ordained,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4587&MediaPosition=&ID=26075&CssClass=,"An Ordinance has been received from City Clerk, relative to the Commercial Parking Space Permits Municipal Ordinance. REFERRED TO THE ORDINANCE COMMITTEE IN COUNCIL OCTOBER 21, 2024.  PASSED TO A SECOND READING IN COUNCIL DECEMBER 2, 2024",
