"Unique Identifier","Agenda Number","Meeting","Meeting Date","Category","Awaiting Report","Policy Order","Charter Right","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Catherine Zusy","Yeas","Nays","Present","Absent","Link","Summary"
"CMA 2024 #203","1","2024-09-23 Regular","45558","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4577&MediaPosition=&ID=25384&CssClass=","recommendations of the Community Preservation Act Committee (CPAC) for FY2025."
"CMA 2024 #204","2","2024-09-23 Regular","45558","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4577&MediaPosition=&ID=25585&CssClass=","an update on the Temporary Respite Center at the Registry of Deeds."
"CMA 2024 #205","3","2024-09-23 Regular","45558","Awaiting Report Response","AR-24-35","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4577&MediaPosition=&ID=25584&CssClass=","Awaiting Repor24-35, regarding an update on the Children Savings Accounts Program with the East Cambridge Savings Bank."
"CMA 2024 #206","4","2024-09-23 Regular","45558","Awaiting Report Response","AR-24-46","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4577&MediaPosition=&ID=25583&CssClass=","Awaiting Report Item Number 24-46, regarding regarding the water bubbler at Anderson Tennis Courts on Pemberton Street."
"CMA 2024 #207","5","2024-09-23 Regular","45558","Awaiting Report Response","AR-24-52","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Catherine Zusy","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4577&MediaPosition=&ID=25588&CssClass=","Awaiting Report Item Number 24-52, regarding draft zoning language based on the proposal discussed at the Housing Committee to eliminate exclusionary zoning and allow up to six stories of multifamily housing in all residential districts."
"CMA 2024 #208","6","2024-09-23 Regular","45558","Awaiting Report Response","AR-24-43","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4577&MediaPosition=&ID=25517&CssClass=","Awaiting Report 24-43 regarding conducting outreach to Cambridge colleges and universities and coordinating with the MBTA on promoting the MBTA’s new University Pass Program."
"CMA 2024 #209","1","2024-09-30 Regular","45565","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25594&CssClass=","a Surveillance Technology Impact Report (STIR)."
"CMA 2024 #210","2","2024-09-30 Regular","45565","Appointment","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25726&CssClass=","the appointment of Anne B. Odera as a member of the Commission on Immigrant Rights and Citizenship for a term of three years."
"CMA 2024 #211","3","2024-09-30 Regular","45565","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25722&CssClass=","Appropriation of $1,700.00, to the Grant Fund Department of Human Service Programs Other Ordinary Maintenance account. These funds were awarded to the Moses Youth Center and will be used to support the safe option filled closet where teens in the community will feel welcomed to use."
"CMA 2024 #212","4","2024-09-30 Regular","45565","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25723&CssClass=","Appropriation of $54,360.00 received from the Cambridge Community Foundation Alice Wolf Early Education and Care Fund to support the city’s early childhood efforts, to the Grant Fund Department of Human Service Programs Other Ordinary Maintenance account ($34,360.00) and to the Grant Fund Department of Human Service Programs Travel and Training account ($20,000.00). These funds will be used to provide continuing support for training and professional development for early childhood educators and those entering the field."
