Unique Identifier,Agenda Number,Meeting,Meeting Date,Sponsor,Co-Sponsors,Charter Right,Amended,Outcome,Type of Vote,Sumbul Siddiqui,Burhan Azeem,Patricia Nolan,Jivan Sobrinho-Wheeler,Catherine Zusy,Marc C. McGovern,E. Denise Simmons,Timothy R. Flaherty,Ayah A. Al-Zubi,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
POR 2026-119,1,2026-06-08 Regular,2026-06-08,E. Denise Simmons,"Marc C. McGovern,Timothy R. Flaherty",,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87610,"That the City Manager is requested to confer with the Cambridge Historical Commission, the Law Department, the Department of Public Works, Inspectional Services, the Cambridge Public Health Department, Community Preservation Act staff, the Harvard Square Business Association, and the owners of properties abutting the Old Stone Wall, for the purpose of developing a practical plan to stabilize, preserve, and restore this historic resource",
POR 2026-110,1,2026-06-08 Regular,2026-06-08,,,E. Denise Simmons,,Tabled,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87570,Zero Waste Master Plan Ordinance changes,
POR 2026-122,4,2026-06-08 Regular,2026-06-08,Timothy R. Flaherty,E. Denise Simmons,,,Failed,Roll Call,no,no,absent,no,no,no,yes,yes,no,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87633,That the City Council shall complete the required review and determinations prescribed by Section 2.128.060(c) before taking any future vote regarding the continued use of ShotSpotter or any other surveillance technology,
POR 2026-123,5,2026-06-08 Regular,2026-06-08,Timothy R. Flaherty,Catherine Zusy,,,Referred,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87634,"That the City Manager is requested to direct the Community Development Department, and other relevant City departments, to examine and report back to the City Council with a feasibility analysis with findings, options, and recommendations regarding the following proposed amendments to the multifamily zoning ordinance.    REFERRED TO THE JOINT HOUSING AND NEIGHBORHOOD AND LONG TERM PLANNING COMMITTEE MEETING TO BE HELD ON JUNE 25, 2026",
POR 2026-124,1,2026-06-22 Regular,2026-06-22,Patricia Nolan,"Sumbul Siddiqui,Marc C. McGovern,Catherine Zusy",,,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=3e73de4b-19ff-4aa5-a8ef-46f84781ebee,"That the City Manager is requested to work with relevant City departments to develop a plan for inclusive and robust engagement on any proposed licensing changes, and to ensure that the City’s licensing framework remains as efficient, accessible, and streamlined as the law allows, without imposing unnecessary barriers or burdens on licensees",
POR 2026-120,1,2026-06-22 Regular,2026-06-22,,,E. Denise Simmons,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87611,"That the City Manager is requested to confer with the Police Department, the Community Safety Department, the Emergency Communications Department, the Department of Human Service Programs, the Department of Public Works, the Law Department, and any other relevant City departments and community partners to develop a Neighborhood Safety Additions Plan for the areas of the City previously served by ShotSpotter technology",
POR 2026-125,2,2026-06-22 Regular,2026-06-22,Jivan Sobrinho-Wheeler,"Sumbul Siddiqui,Ayah A. Al-Zubi,Marc C. McGovern",,,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=a35e7d3c-5de9-4a93-8318-92a269ff6131,"That the City Manager is requested to confer with the relevant departments to explore the ability of the City to prohibit, restrict, or otherwise regulate the use of algorithmic price fixing in its rental housing market, including the potential drafting of ordinance language that would regulate algorithmic price fixing and report back to the City Council in a timely manner",
POR 2026-121,2,2026-06-22 Regular,2026-06-22,,,Ayah A. Al-Zubi,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87627,"That the City Manager is requested to use the Federal Stabilization Fund to provide one-time stabilization payments to Cambridge-based and Cambridge-serving organizations impacted by FY27 MOVA cuts, report back to the City Council with a proposed funding plan, and work with the Mayor's Office and other relevant City staff to engage with the broader Cambridge nonprofit community to assess the full scope of federal and state funding reductions and their impact on the City's safety net services",
POR 2026-129,3,2026-06-22 Regular,2026-06-22,Burhan Azeem,"Jivan Sobrinho-Wheeler,Patricia Nolan,Marc C. McGovern",,,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=68afa990-a24e-4f96-b780-d7482d097046,"That the City Manager is requested to direct the Cambridge Police Department to prepare a report for the City Council regarding the causes of the significant decline in traffic enforcement since 2015, current departmental priorities, and recommendations for enforcement",
POR 2026-130,4,2026-06-22 Regular,2026-06-22,Burhan Azeem,"Sumbul Siddiqui,Ayah A. Al-Zubi,Marc C. McGovern",,,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=279c9969-4a46-4d52-8b2d-3fa16abd3093,"That the City Manager is requested to evaluate the impacts of the temporary extended last call and public outdoor drinking district measures during the authorization period, consult with the License Commission, Cambridge Police Department, and other relevant stakeholders on the feasibility and desirability of making these measures permanent, and identify any necessary changes or actions required for implementation beyond the current authorization",
POR 2026-131,5,2026-06-22 Regular,2026-06-22,Patricia Nolan,"Jivan Sobrinho-Wheeler,Burhan Azeem",,,,,,,,,,,,,,,,,,,https://cambridgema.primegov.com/viewer/preview?id=0&type=8&uid=8814921c-1555-46a6-ac3b-dcd07c347fa2,City Council support of An Act to protect Massachusetts public health from PFAS,
