Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Notes
CMA 2022 #1,01/10/22 Regular,01/10/22,1,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15355&CssClass=,
CMA 2022 #2,01/10/22 Regular,01/10/22,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15357&CssClass=,
CMA 2022 #3,01/10/22 Regular,01/10/22,3,Appointment,,,,Placed on File,,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15356&CssClass=,
CMA 2022 #4,01/10/22 Regular,01/10/22,4,Appointment,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15384&CssClass=,
CMA 2022 #5,01/10/22 Regular,01/10/22,5,Appointment,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15391&CssClass=,
CMA 2022 #6,01/24/22 Regular,01/24/22,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15397&CssClass=,
CMA 2022 #7,01/24/22 Regular,01/24/22,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15424&CssClass=,
CMA 2022 #8,01/24/22 Regular,01/24/22,3,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15425&CssClass=,
CMA 2022 #9,01/24/22 Regular,01/24/22,4,Transmitting Communication,,,,REFERRED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15429&CssClass=,by QZ to the Health and Environment Committee
CMA 2022 #10,01/31/22 Regular,01/31/22,1,Awaiting Report Response,,POR 2021 #265,Patricia Nolan,Charter Right,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15496&CssClass=,by Councillor Nolan
