Unique Identifier,Agenda Number,Meeting,Meeting Date,Sponsor,Co-Sponsors,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Amended,Link,Description,Notes
POR 2022 #1,1,01/10/22 Regular,01/10/22,E. Denise Simmons,Paul F. Toner,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15382&CssClass=,"That the City Manager is requested to work with the Chief Public Health Officer, the Cambridge Health Alliance, and other relevant City staff to create a “priority line” and/or establish “senior hours” at the City’s Covid-19 testing locations.",
POR 2022 #2,2,01/10/22 Regular,01/10/22,Patricia Nolan,"Marc C. McGovern,Sumbul Siddiqui,Burhan Azeem",,Referred to Committee,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15383&CssClass=,"That Article 20.90- Alewife Overlay Districts 1-6 of the Cambridge Zoning Ordinance be amended to insert a new section entitled Section 20.94.3- Temporarily prohibited uses. (ORDINANCE #2022-1) PLACED ON THE TABLE IN COUNCIL MAY 2, 2022 TO BE ORDAINED ON OR AFTER MAY, 23 2022",planning board and ordinance committee
POR 2022 #3,3,01/10/22 Regular,01/10/22,E. Denise Simmons,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15358&CssClass=,That the Mayor is requested to schedule a training session within the month of January for the purpose of reviewing Robert’s Rules of Order with the entire City Council.,
POR 2022 #4,4,01/10/22 Regular,01/10/22,Sumbul Siddiqui,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15387&CssClass=,That the Executive Assistant to the City Council confer with the Dedication Committee to consider a request from Mayor Siddiqui for a suitable dedication in the vicinity of Windsor and Washington Streets in honor of longtime Cambridge resident Clairzie Julce Mervil.,
POR 2022 #5,5,01/10/22 Regular,01/10/22,Sumbul Siddiqui,"Alanna Mallon,Patricia Nolan,Quinton Zondervan",E. Denise Simmons,Charter Right,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15394&CssClass=,"That the City Council designates the Chair of Government Operations, Rules, and Claims Committee to serve as the City Council’s designee to coordinate with Randi Frank Consulting, LLC as well as appropriate City officials in carrying out the executive recruitment process for a new City Manager search process.  That the City Manager is requested to ask the Purchasing Agent to coordinate with the Chair of Government Operations, Rules and Claims committee to engage the services of the identified Community Engagement Specialist(s) to work with Randi Frank Consulting, LLC in the executive recruitment for a new City Manager.  CHARTER RIGHT EXERCISED BY COUNCILLOR SIMMONS IN COUNCIL JANUARY 10, 2022",SIMMONS
POR 2022 #6,6,01/10/22 Regular,01/10/22,Marc C. McGovern,"Alanna Mallon,Sumbul Siddiqui,Burhan Azeem",,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15396&CssClass=,"That the City Manager be and hereby is requested to work with all relevant City Departments to develop a robust plan to increase access to testing, with the goal of reducing wait times for residents, including, but not limited to, expanding testing sites, hiring staff to operate additional sites, offering ""testing tents"" set up in City squares, developing a ""grab n go"" model as used at local universities Harvard and MIT, and more, and to report back to the City Council at the January 24, 2022 City Council meeting.",
POR 2022 #7,1,01/24/22 Regular,01/24/22,Sumbul Siddiqui,,,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15430&CssClass=,"That the City Council and School Committee hold a joint virtual roundtable on Monday, February 14, 2022, at 5:30 p.m. to receive an update from the City Manager and relevant departments on the next steps towards the implementation of universal Pre-K in Cambridge.",
POR 2022 #8,2,01/24/22 Regular,01/24/22,Sumbul Siddiqui,"Alanna Mallon,Marc C. McGovern",,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15432&CssClass=,"That the City Manager is hereby requested to confer with the Traffic, Parking and Transportation Department to determine what safety improvements could be made to the area in front of CRLS  and the crosswalk on Broadway.",
POR 2022 #9,3,01/24/22 Regular,01/24/22,Patricia Nolan,"Dennis J. Carlone,Quinton Zondervan,Burhan Azeem",,Charter Right,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15445&CssClass=,"That the City Manager be and hereby is requested to confer with all appropriate departments, as well as, the Cambridge Water Board and Fresh Pond Advisory Committee and  present  a report to the Neighborhood & Long Term Planning, Public Facilities, Arts and Celebration Committee, which includes but is not limited to a legal analysis of what uses are currently permitted, information on the history of the golf course, residency and other demographic information about membership data of golf course users, and any environmental constraints",by Toner
POR 2022 #10,4,01/24/22 Regular,01/24/22,Alanna Mallon,"Burhan Azeem,Quinton Zondervan,Marc C. McGovern",,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15448&CssClass=,"That the City Manager is requested to confer with the Inspectional Services Department, the Department of Public Works, the Cambridge Historical Commission and other relevant City departments to determine the feasibility of expediting the Demolition and Rebuilding permitting process in the event of a natural disaster.",add mcgovern as co-sponsor
