Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Description,Notes
RES 2022 #1,1,01/10/22 Regular,01/10/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15380&CssClass=,Condolences to the family of Quintus McDermott.,
RES 2022 #2,2,01/10/22 Regular,01/10/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15364&CssClass=,Congratulations to Joe Rose and Danielle Mishkin on the birth of their son Theodore Elliot Rose.,
RES 2022 #3,3,01/10/22 Regular,01/10/22,Retirement Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15375&CssClass=,"Thanks to Peter Daly for his tremendous work as Executive Director of Homeowners Rehab, Inc., over the past 33 years, and in wishing him the very best as he looks to pursue his next exciting chapter.",
RES 2022 #4,4,01/10/22 Regular,01/10/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15381&CssClass=,Condolences to the family of Andre Edwards.,
RES 2022 #5,5,01/10/22 Regular,01/10/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15385&CssClass=,Resolution on the death of Janet Axelrod.,
RES 2022 #6,6,01/10/22 Regular,01/10/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15386&CssClass=,Resolution on the death of James Killackey.,
RES 2022 #7,7,01/10/22 Regular,01/10/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4014&MediaPosition=&ID=15392&CssClass=,"Resolution on the death of legal scholar, civil rights champion, and Cambridge resident Lani Guinier on January 7, 2022 at the age of 71.",
RES 2022 #8,1,01/24/22 Regular,01/24/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15422&CssClass=,Condolences to the family of Larry Braman.,
RES 2022 #9,2,01/24/22 Regular,01/24/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15423&CssClass=,Congratulations to Farrah Ridoré on her appointment as a Boston Fellow with the New Leaders Council.,
RES 2022 #10,3,01/24/22 Regular,01/24/22,Death Resolution,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15426&CssClass=,Condolences to the family of Anne Locke Alach.,add McGovern and Nolan as co-sponsors
