Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Catherine Zusy,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2025 #1,1,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26732&CssClass=,Congratulations to Bishop Cristiano Barbosa for being awarded the 2025 MAPS Person of the Year.,
RES 2025 #2,2,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26736&CssClass=,Congratulations to Edilia Gomes as the Recipient of the 2025 MAPS Mary & Manuel Rogers Lifetime Community Service Award.,
RES 2025 #3,3,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26739&CssClass=,Congratulations to Michael Carreiro as the recipient of the 2025 MAPS Alvaro Lima Outstanding Business Award.,
RES 2025 #4,4,2025-01-06 Regular,2025-01-06,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26762&CssClass=,Condolences on the death of Vasco S. Caetano.,
RES 2025 #5,5,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26763&CssClass=,Congratulations to Rabbi Liza Stern on her retirement,
RES 2025 #6,6,2025-01-06 Regular,2025-01-06,Congratulations,Marc C. McGovern,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26771&CssClass=,Resolution on the death of Maria Alexandria Forde.,
RES 2025 #7,7,2025-01-06 Regular,2025-01-06,Death Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26794&CssClass=,Condolences To The Family of Alfred A. Marazzo,
RES 2025 #8,8,2025-01-06 Regular,2025-01-06,Death Resolution,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26842&CssClass=,Condolence Resolution for Dr. Robert S. Peterkin,
RES 2025 #9,9,2025-01-06 Regular,2025-01-06,Death Resolution,Paul F. Toner,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26922&CssClass=,Condolences on the death of Robert R. McCallum,
RES 2025 #10,10,2025-01-06 Regular,2025-01-06,Congratulations,E. Denise Simmons,,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26955&CssClass=,Congratulations to the Holy Trinity Armenian Apostolic Church on its 100th Anniversary.,
